"Place","Want to taste","Tasted","Rating","Review","Timestamp"
"Nido's","False","True","4","Shrimp tacos! Really nice outdoor vibe in Oakland. Shrimp tacos were pretty good. ","2022-04-23 06:32:58.967245+00:00"
"Mockingbird","False","True","5","Very good upscale restaurant in Oakland. The brussel sprouts and garlic bread were phenomenal. Got the Branzino fish plate which was also very good - just a little boney.","2023-01-28 15:41:34.994757+00:00"
"Boston Chowda Company","False","True","5","Chowda so good! ","2022-12-03 20:08:02.544204+00:00"
"John's of Bleecker Street","False","True","5","Always a 5. Standard order of arincini ball, boom pie (basil, tomato, ricotta, garlic), and Bianca. Boom pie is phenomenal, Bianca not bad but wouldn’t order again.","2022-11-10 03:47:51.274731+00:00"
"Rubirosa","False","True","4","Got tie dye pizza! Strong four but wouldn’t crave like John’s boom pie.","2023-04-03 02:54:52.652315+00:00"
"Weber's Boutique Hotel","False","True","3","Brussel sprouts, steak, mac and cheese. Grad dinner for Neena. Nice ambiance but food was ok.","2022-05-01 14:45:21.976180+00:00"
"BAIA","False","True","4","Shared lots of dishes with large group including arincini balls, different pasta, pizza, lasagna, and dessert. Best dishes were the arincini, lasagna, and chocolate pie. Crazy good despite being vegan - very nice ambiance.","2022-04-24 16:14:56.103640+00:00"
"The Little Chihuahua Mexican Restaurant","False","True","4","Very tasty burrito. I went here once a week for my vegan meal. Accessible because it was close to where I lived. ","2022-02-20 04:53:39.532552+00:00"
"ROOH","False","True","4","Nice ambiance, upscale, Indian food is modern and decent. However I’ve had better and it’s a bit pricey. ","2022-02-20 04:54:32.124333+00:00"
"Aburaya Japanese Fried Chicken","False","True","5","Japanese fried chicken. My favorite spot in Oakland - fried chicken so good with excellent glazed sauce. Always try to go back when I’m in town. ","2022-04-23 06:38:02.331117+00:00"
"Sticky's Finger Joint","False","True","4","Surprisingly very solid fast food chicken fingers. Got it with mustard, sweet bbq, and lemon piccata sauce. Incredible when you combine them together.","2022-07-18 02:07:40.698320+00:00"
"Pongal","False","True","3","Known for South Indian food (see previous review)! Got North Indian this time and it was only ok. Split malai kofta and paneer. Not bad but not great - wasn’t super creamy pretty clean. Wouldn’t come back for North Indian food here.","2022-10-25 03:12:42.673715+00:00"
"IHOP","False","True","4","Surprisingly good pancakes - pretty fluffy. That being said I only had 3 unlike @pranav who had 16 😂😂😂","2022-09-05 16:24:58.333912+00:00"
"First Awakenings","False","True","3","Strong 3. Egg skillet was pretty good but pancakes were ok (no chocolate thanks sakthi 😡) and potatoes were actually not great. ","2022-07-24 00:31:18.733149+00:00"
"Bleecker Street Pizza","False","True","4","Good drunk food pizza - very cheesy ","2022-02-23 03:32:30.586164+00:00"
"Enoteca Maria","False","True","5","Best restaurant I’ve been to in NYC. They have this incredible concept where they invite grandmothers from around the world to cook homemade meals. The menu changes every day depending who’s in the kitchen. 

Yesterday we had an excellent 4 course meal. Started with a full harvest salad that was light but fruity. Then got two entrees - Turkish rabbit and Italian Domenica pasta. The rabbit was very tender and tasted very good (something I have never had before) but the Domenica pasta was some of best Italian food I have ever had. The pasta had insane amount of tomato sauce and the complimentary meat just melted in your mouth.

For dessert we got homemade gelato which was excellent as well. 

I am excited to go back and try the next thing on their menu (and don’t worry @sakthi lots of vegetarian options too)!","2022-08-01 21:55:11.689139+00:00"
"Ralph's Famous Italian Ices","False","True","4","Trip chocolate cookie dough ice cream. Tasty but way too heavy, only ate 20%","2022-04-10 13:41:23.058227+00:00"
"Gnocco","False","True","4","Decent gnocchi and wine in east village. Wouldn’t crave but not bad.","2022-11-25 03:13:16.383494+00:00"
"Brik Oven","False","True","4","Pretty good thin crust pizza spot. Went with the cousins and got a bunch of meat pizzas including an excellent red mozzarella, onion and bacon pizza.","2022-08-13 17:48:07.963746+00:00"
"San Francisco Athletic Club","False","True","5","Best place to watch a game in the city. Good bar food as well but go for the viewing experience.","2022-04-24 16:19:13.580398+00:00"
"Square Pie Guys - Oakland","False","True","4","Souvla pizza - pretty good and close to Oakland office","2022-04-21 01:34:55.503780+00:00"
"Raiz","False","True","4","Split the sweet potato burrito and mushroom taco. Burrito is 5, tacos are also super solid. ","2022-11-10 03:55:33.985697+00:00"
"Tallgrass Burger","False","True","3","Seeing @pratik made me crave a burger. Got a standard burger from the place - was not bad but nothing special. ","2022-09-05 16:28:48.044178+00:00"
