"Place","Want to taste","Tasted","Rating","Review","Timestamp"
"Fle Fle Grill","False","True","3","Fast casual Mediterranean food. Just what'd you expect ","2022-05-15 01:06:10.956143+00:00"
"Cafe China","False","True","3","The old cafe China was dope -- this one I would describe as only ok. Not spicy enough. Better off going to Chili or Szechuan Mountain House ","2022-06-03 02:31:53.159857+00:00"
"Hometown Bar-B-Que","False","True","4","Cool vibe, slow line. I'm not a BBQ connoisseur by any means but thought it was pretty good. Liked the chili a lot. Pulled pork was kind of dry. Worth going to red hook for once, but not dying to go back.","2022-05-23 15:14:55.934589+00:00"
"Birrialandia","False","True","5","Great birria tacos -- open til 1am. Unbelievable after a night of drinking","2022-05-19 15:10:39.364732+00:00"
"LoHi","False","True","4","Normally I hate rooftops but genuinely a really nice one. Cool place to spend a few hours drinking in Bushwick. Food is fine ","2022-05-21 22:31:38.438720+00:00"
"Dame","False","True","5","The tuna tartare and the fish and chips are so fucking good. Everything else is good but I would come back by myself and just order these 2 things so I didn't have to share ","2022-07-20 22:39:20.944612+00:00"
"Cachapas Brooklyn","False","True","4","good arepas in Cypress Hills. White garlic sauce is really tasty ","2022-06-05 19:50:02.133918+00:00"
"Una Pizza Napoletana","False","True","3","The pizza is good, but there are 100 places in the city that make great pizza and most of them have full menus and don't require reservations weeks in advance. Also I think I just prefer other styles of pizza to Neopolitan ","2022-06-24 13:55:30.281790+00:00"
"Semma","False","True","5","I normally don't like Indian restaurants and it's a bit pricy for sure but I'm a huge fan. Lamb was really great dosa was great fish was great oxtail was great biryani was only good ","2022-08-05 05:54:44.581205+00:00"
"Ammazzacaffè","False","True","4","Got a really good cocktail (spice of paradise) and there were a couple pastas here that I thought were really solid. Prices were reasonable. NYC has plenty of solid pasta places, this is another one. ","2022-05-14 16:17:44.509001+00:00"
"Beyti Turkish Kebab","False","True","4","Pretty authentic Turkish food in Brighton beach. Kebabs were good, service was good ","2022-05-15 20:28:30.877413+00:00"
"Chito Gvrito","False","True","4","Place was mid but they pissed pranav off so they get at least 4 stars ","2022-05-21 14:25:51.056475+00:00"
"Klong","False","True","5","Sapporo is 3 dollars ","2022-05-26 23:00:16.220242+00:00"
"Soothr Thai Noodle Bar","False","True","3","Sweeter and blander than I like. Wouldn't go back ","2022-06-29 01:46:06.369685+00:00"
"Miss Ada","True","False","","",""
