"Place","Want to taste","Tasted","Rating","Review","Timestamp"
"Ladurée","False","True","5","We got the hot chocolate and some macarons. The pistachio and raspberry macarons were amazing. Hot chocolate was also really good. Highly recommend. I’ll be back to try out their other macarons and pastries ","2022-10-03 16:00:47.520883+00:00"
"Ruffian","False","True","4","Really nice wine bar. Wine selection was more Prosecco (not my fav). The red at the end was really good. The food was also great! ","2022-12-03 17:00:11.694306+00:00"
"Beit Rima","False","True","5","Best Mediterranean food ","2022-02-22 17:21:25.083035+00:00"
"Sugar Sweet Sunshine Bakery","False","True","5","So good their banana pudding rivals magnolia bakery ","2022-03-17 00:03:34.951552+00:00"
"Spaghetti Incident","False","True","5","Pasta was incredible. Price is so worth it highly recommend ","2022-03-01 04:39:55.810441+00:00"
"Super Duper Burgers","False","True","5","Still the best burger I’ve had. 🐐","2022-06-10 18:22:51.618330+00:00"
"Nowon","False","True","5","Got the legendary burger and the dry aged burger. Both were incredible. I got both without the mayo. Dry aged one was better. Best burgers I’ve had in nyc so far. ","2022-11-03 23:27:09.671898+00:00"
"The Little Chihuahua Mexican Restaurant","False","True","4","Great if you’re looking for a “clean” burrito. Not amazing tho ","2022-03-09 17:28:46.490193+00:00"
"Wayla","False","True","5","Best chicken I’ve had. Perfectly cooked and so tender and sooo much flavor. The vegetable fried rice was amazing. Not too rich and flavor was ridiculous. ","2022-10-20 01:14:11.785241+00:00"
"MaMa Ji's","False","True","2","Pot stickers were okay. Chicken was really bad. Not much taste to it ","2022-03-05 00:20:13.222927+00:00"
"Ben Thai Cafe","False","True","4","Was pretty decent Thai food ","2022-03-01 04:57:39.445413+00:00"
"Wolfnights - The Gourmet Wrap","False","True","4","Great drunchies spot ","2022-03-01 04:42:49.853362+00:00"
"Verve","False","True","5","Everything at verve is awesome. Pricey but worth it! ","2022-03-05 00:21:00.123610+00:00"
"7th Street Burger","False","True","4","I got the double cheeseburger. It’s a great burger but tbh it tasted VERY similar to shake shack (but smaller size). ","2022-10-04 18:50:38.776281+00:00"
"SPRO Coffee Lab","False","True","5","Really unique specialty coffee spot. Food is pretty good too ","2022-04-03 02:22:00.925837+00:00"
"Kiki's","False","True","4","We got the chicken gyro and the moussaka. The gyro was decent. The moussaka was really good. Wouldn’t recommend getting it delivered because the fries were stale. ","2022-10-03 15:59:55.851596+00:00"
"Blue Ribbon Fried Chicken","False","True","4","Pretty good! ","2022-03-07 20:04:51.466907+00:00"
"Taqueria El Farolito","False","True","5","One of my favorite burritos in Sf by far. Not pricey at all ","2022-03-09 17:31:51.564800+00:00"
"Caffè Panna","False","True","5","Best ice cream in NYC hands down ","2022-03-01 04:40:56.713604+00:00"
"Starbelly","False","True","3","Brunch here is not great. Burger was okay. Dinner is leagues better than their brunch ","2022-05-02 05:05:54.412458+00:00"
"Super Duper Burgers","False","True","5","Had to come back here. 🐐 ","2022-11-11 19:43:00.495018+00:00"
