"Place","Want to taste","Tasted","Rating","Review","Timestamp"
"La Taqueria","False","True","5","Carne asada taco was life changing. Don’t bother with the pollo taco. Super version also not worth imo. Just go with regular. ","2022-05-08 02:27:08.298156+00:00"
"Kowbird","False","True","5","Amazing hot chicken sandwich. Used to be behind the Twitter building but they opened a store in Oakland. Got the medium+ and it was spicy! Really good.","2022-05-08 02:32:07.717458+00:00"
"Boba Guys","False","True","5","Strawberry Matcha Latte"". 10/10","2022-05-08 02:30:33.433617+00:00"
"Shizen","False","True","5","This place is popping. Now I don’t like seafood and I’ve never had sushi. But my golly gosh this was my top favorite thing in SF. I’m hitting this place up every time I come to SF. This place is totally vegan (I was hesitant to go here at first, but don’t vegan deter you). This place doesn’t try to make it taste like sushi but it really present and mimics the sushi look and feel and taste is out-of-this-world.","2022-05-08 02:31:09.032680+00:00"
"Salt & Straw - Hayes Valley","False","True","5","Salt & Straw is the best ice cream i ever had. Got the cookie dough ","2022-05-08 02:28:40.774197+00:00"
"Marumen","False","True","4","Pretty good ramen place. I got chicken buns and braised chicken ramen. Chicken buns was alright. I got cracking kewpie on the side. Buns were nothing too special. Probably won’t get them again. Braised chicken was really good. Thiccc meat. Flavorful. Wish it was spicier! ","2022-04-24 03:38:40.899539+00:00"
"First Watch","False","True","5","Really good","2022-03-13 23:39:13.484015+00:00"
"The Italian Place","False","True","4","Chicken parm was pretty good. Got it with tomatoes, special olive oil, italian seasoning, and marinara. ","2022-06-11 08:04:01.193830+00:00"
"Chipotle Mexican Grill","False","True","4","Pretty good","2022-02-26 04:04:32.876538+00:00"
"The Devil's Acre","False","True","5","a very cool cocktail bar. My favorite drink was the ""Marmalade Skies""!","2022-05-08 02:24:38.805954+00:00"
"Liguria Bakery","False","True","5","Best slice of focaccia bread I’ve had — I got the ""rosemary""!","2022-05-08 02:25:48.151556+00:00"
"Curry House","False","True","3","Not the best. Probably won’t go back ","2022-03-12 00:34:31.355972+00:00"
"Aditi Indian Dining","False","True","4","Great taste. Wish the food was hotter (temperature wise and spice level). For apps: chicken tikka wings and samosa chaat 

Main: Got naan (garlic and regular), roti, mutter paneer, malai kofta, chicken tikka masala. Veg biryani. Everything was good except the biryani. They put too much saffron. ","2022-05-09 03:10:13.646771+00:00"
"Tartine Bakery","False","True","5","Frangipane Tart  simple and sweet ","2022-05-08 02:27:53.813617+00:00"
"Souvla","False","True","5","Amazing Greek restaurant. I opted for the sandwich because the salad bowl looked like too much food. But after I got Chicken (Sandwich), I was still hungry so I went and go ""Greek fries"". No regrets. Really great fries. ","2022-05-08 02:29:01.509922+00:00"
"Señor Sisig","False","True","5","Order a California Sisig Burrito (I get Chicken) at Señor Sisig. This is my absolute favorite burrito spot in SF. I make sure to come here every time I visit SF!","2022-05-08 02:26:16.027240+00:00"
"Howlin' Ray's","False","True","5","Hands down my favorite chicken spot. One of the best chicken sandwiches I’ve ever had. The spice flavor was chefs kiss 🤌","2022-09-11 17:09:01.403101+00:00"
"Bhai Sahab - Indian Restaurant","False","True","4","The Amritsar chicken was pretty good. It’s like tandoori chicken in butter chicken gravy. Also decent malai kofta. Huge kofta pieces","2022-04-17 18:44:13.069460+00:00"
"Hojas Tea House","False","True","4","Got a Korean hot dog. Cheese and potato. And a brown sugar milk tea boba. Solid stuff. Nothing too special. ","2022-09-11 16:59:52.613751+00:00"
"Arsicault Bakery","False","True","5","one pastry — ""Kouign Amann"". One of the best things I’ve had in my life. ","2022-05-08 02:30:04.720727+00:00"
"Swizzler","False","True","5","Amazing chicken sandwich. Juicy and tender. Probably in the top 5 sandwiches I’ve ever had ","2022-06-11 01:12:29.816509+00:00"
"bb.q Chicken - Ashburn","False","True","5","New place, good quality","2022-03-28 02:32:58.413944+00:00"
"Boudin Bakery","False","True","5","Amazing bakery in SF, known for sourdough. I got a ""baby turtle sourdough"" just to taste and it was warm and so good!","2022-05-08 02:24:11.271018+00:00"
"Little Lucca Specialty Sandwich Shop - South San Francisco","False","True","5","Has become one of my favorite sandwich shops. Get a sandwich on Dutch-crunch bread! San Francisco’s famous sourdough but with signature crunchy, cracked top. I got the ""Chicken Santa-Fe: Mesquite-grilled chicken breast, melted cheddar cheese with roasted raspberry chipotle sauce.""","2022-05-08 02:23:09.089632+00:00"
"Tava Fry","False","True","5","First class, A1 ","2022-03-04 03:14:42.679640+00:00"
"Yu Noodles","False","True","4","Got the chongqing noodles. It was spicy broth with rice noodles, peanuts, and poached egg. Perfect for a rainy day. ","2022-04-19 02:41:36.959990+00:00"
"CAVA","False","True","5","Large quantity ","2022-02-23 01:02:22.934710+00:00"
"Dominique Ansel Bakery","False","True","5","Tasty pastries. Got the cronut and the amann. Cronut was a bit much, but amann was amazing.","2022-09-10 03:29:55.258037+00:00"
"Señor Ramon Taqueria","False","True","3","Got mushroom taco, and the two chicken ones — tinga and adobo. Just normal racks. Nothing so special about them. Also got corn nuggets which were pretty good. ","2022-06-12 00:26:42.332480+00:00"
"Château de Chantilly","False","True","5","Good treats ","2022-03-11 05:15:26.413498+00:00"
"Urth Caffé","False","True","5","Fruit danish, Spanish latte, and match latte","2022-09-11 17:11:59.126915+00:00"
"Aago Restaurant","False","True","1","I regret going here. Waited over an hour for the food. Butter chicken was liquidy. I got fried dumplings, but it was steam dumplings that were pan fried. The papad was drenched in oil. The sauces they provided were horrible. It had freezer taste and tasted like concentrate.","2022-04-16 16:37:30.626819+00:00"
"Burma Love","False","True","5","It was my first time eating having Burmese cuisine. I got the ""Garlic Noodles (Chicken)"", would highly recommend","2022-05-08 02:25:05.978471+00:00"
"Peri Peri Original","False","True","5","Great quantity, flavorful, and spice def has a kick to it","2022-02-24 02:11:50.445865+00:00"
"Smokecraft Modern Barbecue","False","True","5","The mean slid right off the bone! A lot of good — struggle to eat everything on my plate. Plenty of sauces to try","2022-03-03 02:46:47.186130+00:00"
"Little Damage","False","True","5","Cool ice cream I spotted while walking around downtown. Was looking for something thing east the burning from howling rays chicken sandwich I had earlier. This was the perfect spot. I got the vanilla and strawberry ice cream (black version!) with toffee nut topping, in their signature waffle cone. The black is charcoal. It was really really good. Top tier. It does stain your mouth haha ","2022-09-11 17:06:34.027451+00:00"
