"Place","Want to taste","Tasted","Rating","Review","Timestamp"
"Palette 22","False","True","2","it’s an all-you-can-eat buffet, with a fusion-style menu. brunch started out great, dishes were tasty and morale was high. but our experience quickly deteriorated when we started getting mediocre and subpar dishes. the service got slower, some utensils we got were dirty, coffee tasted old, and the desserts weren’t thoroughly cooked

collectively we probably tried a little less than half the menu. the best thing (which was just decent) were the curry chicken empanadas if for some reason you end up here

wouldn’t come back to eat here but decent vibes in the surrounding area with other restaurants","2022-07-21 11:37:25.651135+00:00"
"Julian's Pizza Bar","False","True","3","we ordered delivery and the pizzas were ofc fresh. the crust was soft (as opposed to being charred and/or having structure) - it kind of reminded me of middle school cafeteria pizza. they have specialty flavors like chicken parm. pizzas were alright, but too flimsy and too heavy for me","2022-07-23 14:21:52.771268+00:00"
"Keys & Heels","False","True","3","classy cocktails and aesthetic (but small) space. it’s also in upper east so it’s prob a little out of the way","2022-03-28 21:16:52.860074+00:00"
"Thai Villa","False","True","4","excellent ambiance and good thai food. the panang curry was a little oily but was good. would highly recommend the si-sa-ket. the thai tea lava cake was unique and amazing - easily the best lava cake i’ve had","2022-03-27 19:19:46.674746+00:00"
"Black Hog BBQ","False","True","4","good wings and nice specialty sauces","2022-09-03 14:11:17.852095+00:00"
"Barrel & Bushel","False","True","4","pretty decent food, specifically the brunch. but i’ve been here several times for happy hour and it’s great. seating might be hard to find but the vibes are worth","2022-04-14 00:03:44.765202+00:00"
"Carrabba's Italian Grill","False","True","2","good service but the food was pretty subpar. this is one of those places where they have too many dishes in the menu and prob don’t do a great job on any of them","2022-04-30 16:11:52.769006+00:00"
"Chicago's Pizza With A Twist (Ashburn, VA)","False","True","4","known for their indian style pizzas. i’ve gotten takeout a few times and always felt like they put too much ginger but great pizzas nonetheless, would recommend","2022-03-10 05:52:12.807331+00:00"
"Mehak Indian Restaurant","False","True","4","curries are pretty solid (paneer makhani specifically), biryani is decent, naan is alright. nothing mind blowing and ambiance wasn’t very great but food and service were good so it gets a 4. handful of takeout orders while we dined in which is always a good sign","2022-08-17 15:59:25.383723+00:00"
"Oxus7","False","True","4","really friendly service here and the food is good - decent kabobs and soft bread. location is not super great, in a pretty low key part of town with not much else to do/eat. but good place for some clean greek food","2022-05-02 00:09:14.422191+00:00"
"Jaipur Royal Indian Cuisine","False","True","3","used to be my fav indian place in nova but its quality went down pretty drastically imo. been here several times for both buffet and dinner. vibe is classy but food is just ok (not bad)","2022-02-24 06:03:03.749700+00:00"
"Knead Bagels","False","True","4","get the za’atar hot sandwich with veggie chorizo and thank me later. it has some really good custom aioli. also had the roasted veggie cream cheese with a bagel and it was delicious (nothing unique but v tasty). this would be a 5 but the bagel was slightly hard","2022-11-01 15:07:57.466194+00:00"
"Rubirosa Ristorante","True","True","4","all the pizzas were delicious but i liked the classic and tie dye the most. the apps are fine but nothing special","2021-07-30 23:30:00+00:00"
"Chennai Express","False","True","5","i came here again and i’ll stand by my claim - this is the best spot for south indian food in nova

i got the paneer masala dosa this time - it’s just the same masala flavor but with paneer instead of potatoes (see pics). comes with sambar, podi, and chutneys. also had the chicken 65 which was so fresh and the chicken biryani which was decent (more of a pulao but it’ll do). service was a bit better than last, maybe it’s bc they remembered us

again, the place is pretty ratchet but we were there for less than an hour and saw several people eating at the place and picking up food to go - always a great sign","2022-06-22 01:44:24.941709+00:00"
"Cereal Box","False","True","5","this is cereal flavored ice cream. i was expecting milkbar kind vibes which uses cereal milk to make their ice cream. this place just uses vanilla and grinds your choice of cereal into it - i had cinnamon toast crunch. this grinding method won’t fully/seamlessly incorporate the cereal flavor like milkbar does but i kind of liked it that way, added a crunch - see attached pic for ref

this is realistically a 4.5 but i’ll give it a 5, i was pleasantly surprised","2022-05-29 00:39:18.798243+00:00"
"The Halal Guys","False","True","3","slightly overhyped but decent late night food. it’s not bad but i agree with priya, chicken was a bit dry. everyone knows halal guys has insanely spicy red sauce, my preference is one strip red and four strips white","2022-04-18 18:18:18.060035+00:00"
"Essex Taqueria","False","True","4","excellent late night food","2021-07-31 03:30:00+00:00"
"Lei Lei's Bar and Grill","False","True","3","good food and beautiful location, though a bit overpriced","2022-02-09 21:43:59.378870+00:00"
"Bawarchi Biryanis Ashburn","False","True","3","don’t get anything other than biryani here - and maybe some apps","2022-09-24 16:04:44.031957+00:00"
