"Place","Want to taste","Tasted","Rating","Review","Timestamp"
"Cou Cou Rachou","False","True","4","Cookie was surprisingly good ","2023-03-25 20:55:19.460522+00:00"
"Kazone","False","True","4","Katsu not as good as I remember but lunch combo still a pretty good deal ","2022-12-29 22:52:06.781931+00:00"
"Menkoi Sato NYC","False","True","3","More like Midkoi Sato","2022-11-29 03:31:46.320632+00:00"
"Kogane Ramen","False","True","4","Strong 4, broth was fire and noodle quality was quite good ","2022-11-30 05:15:09.769535+00:00"
"La Superior","False","True","5","Best tacos in Durham no doubt ","2023-05-07 23:37:42.297188+00:00"
"M Kokko","False","True","4","Well, it’s much better than dashi at least lol","2023-04-28 19:20:01.922849+00:00"
"Shyndigz","False","True","5","One cake slice from this place could feed a family of 4","2023-03-30 15:56:07.156777+00:00"
"Foster's Market","False","True","4","Have only had the catering but their cookies are goated (and absolutely massive), Greek chicken wrap also tasty ","2023-02-02 21:18:04.000771+00:00"
"Coffee Project New York","False","True","4","London fog was actually fire but unfortunately it was also like $10 lmao ","2022-12-10 07:11:13.984285+00:00"
"Kazone","False","True","5","More like a 4.5; truly excellent katsu but the accompanying salads/sauces were a bit lackluster ","2022-06-03 20:24:04.209999+00:00"
"Bosphorus","False","True","4","This place had absolutely god-tier reviews on yelp so I went in with high expectations, it was solid but frankly nowhere near the hype ","2023-05-05 01:54:22.637982+00:00"
"Seol Grille","False","True","4","Kind of expensive and not particularly noteworthy, but gets a 4 for being the only AYCE kbbq spot in town (well there is another one but it’s just objectively worse)","2022-09-05 18:21:54.147986+00:00"
"Íslenski Barinn","False","True","4","My recommendation would be to get a regular burger and then just tell people you got the reindeer burger and that reindeer tastes like beef ","2022-12-17 21:42:16.758172+00:00"
"Taste Of Korea","False","True","5","Gets a 5 for price/value ratio, excellent bulgogi and you can split like 3-4 things between two people for an all-included ~$25","2022-10-16 20:08:53.524229+00:00"
"Bartaco","False","True","4","A bit of RTC in chapel hill, quite honestly better than all of the other taco options in this area lol (forgot to take pictures of the tacos because I consumed them so fast)","2022-07-04 20:01:56.646749+00:00"
"Daeho Kalbijjim & Beef Soup","False","True","5","If beef ever needed an ad it would be this

Also pro-tip, there is a spicy level 4 ","2022-08-25 17:38:36.524420+00:00"
"Korean Tofu House","False","True","5","Fire fr","2022-08-22 03:00:21.017777+00:00"
"Shakeshuka","False","True","4","Generous portion size, very reasonably priced, and conveniently located next to the Marylebone wework ","2022-07-08 12:45:49.124753+00:00"
"Brooklyn Bagel & Coffee Company","False","True","3","Bagel size is huge but honestly the sausage egg and cheese was nothing to write home about ","2022-09-29 21:18:37.806965+00:00"
"DIG","False","True","3","Chipotle is across the street - just walk like 10 feet ","2022-05-10 16:39:27.051157+00:00"
"The Poke Shack","False","True","4","Average quality, absurd quantity ","2022-07-17 19:43:32.734661+00:00"
