"Place","Want to taste","Tasted","Rating","Review","Timestamp"
"B'artusi","False","True","4","Great overall experience. Told Mike the server about Inventing Anna and he became my boy. Hooked it up with free cookies and ice cream at the end lmaoooo. As you can see from all the pics, the food was tasty. The martini was dirty af. Good doggos. Solid food. Nice place to go on Sunday to tackle scaries in the West Village. The line is usually really long for this place ","2022-06-08 02:11:56.440132+00:00"
"Malibu Farm","False","True","4","This is a nice place to go by the bridge and water. We sat outside and it was a nice ambiance. I shared the burrata app and got the coconut curry as my main. Both were good. The watermelon margarita was elite. Would return. ","2022-08-11 03:00:11.643096+00:00"
"Don Angie","False","True","5","Coworkers had a reservation and I didn’t know how hard it is to get a spot here. It is a 1 Michelin star restaurant and lived up to the expectation. Everything we got absolutely slapped. Espresso martini was delish. Garlic stuff bread and salad was good. Mushrooms were great. Gnocchi was melting in my mouth. Chicken was awesome. And cream brûlée was unique. 100% would return. Only $60 bucks for all that!? #sheeeshhhh","2022-05-28 12:30:29.200429+00:00"
"Crow's Nest","False","True","5","","2022-08-01 18:27:17.093899+00:00"
"Rubirosa Ristorante","False","True","5","This place was soooo good. Pictures speak for themselves. Their rubirosa pizza was my fav and espresso martinis were on point","2022-08-07 21:47:31.690024+00:00"
"Flavio Restaurant & Bar","False","True","3","Got the chicken parm and espresso martini. The overall meal was okay compared to all the NYC eats. Service is as SO awful. I had to do the waiter’s job for him for splitting checks. There are better options to go to in the Georgetown area","2022-06-02 20:37:07.323278+00:00"
"Hanoi House","False","True","4","Pho was great and our server was very friendly. Will return ","2022-04-18 18:05:17.787948+00:00"
"Anassa Taverna Downtown","False","True","5","One of the best meals I had in the city so far","2022-04-17 22:13:20.473605+00:00"
"Coppola's","False","True","4","Started with calamari and steamed mussels and got the chicken parm for my main. Overall was good and would return","2022-05-15 19:27:25.416162+00:00"
"The Izakaya NYC on 4th","False","True","4","This was authentic Japanese food very diff from what I’ve usually had. The table got salmon & white tail sashimi - solid, mushroom fried rice - fire, spicy cucumbers - crack, chicken Katsu - good, and oysters (fried & izakaya style) - solid. The service was slow but cool experience. Was good overall but not as filling for me bc I eat a lot","2022-05-18 11:20:37.132687+00:00"
"Giano Restaurant","False","True","4","Had a work dinner and got the gnocchi special, tiramisu, and cappuccino. Was a really good Italian meal. Server was marvelous and had a fresh accent 🤌🏽 Would definitely return.","2022-05-19 04:02:45.592216+00:00"
"Carroll Place","False","True","4","Was a solid bottomless brunch spot. It gets bumping inside with a DJ around 1:30ish. I got the omelette and tried some of the French toast. Good overall experience.","2022-06-14 16:06:02.072178+00:00"
"Blue Ribbon Sushi Izakaya","False","True","4","Oxtail fried rice was amazing. Pork dumplings & tempura sushi rolls were solid. Servers were pretty efficient.","2022-04-17 15:04:44.256669+00:00"
"The Black Ant","False","True","3","Got the chicken tacos. They were decent. This place sells insects as their staple in various dishes. If you’re feeling daring, go check it out ¯\_(ツ)_/¯ ","2022-09-07 02:53:48.122303+00:00"
"Risotteria Melotti NYC","False","True","4","This place is 100% gluten free. It was solid Italian food but there are just simply too many other good places that beat this place out. Got a bottle of sauv blanc, calamari, truffle risotto, and grilled salmon. Server was friendly and very Italian lmao ","2022-06-08 02:08:53.512459+00:00"
"Let's Meat","False","True","4","All of the cuts were delicious. Big fan of the marinated meats. Price point wise the premium meats were worth the extra few dollars. Service was fast and the staff was very friendly. 

Make sure to come hungry and take advantage of the all you can eat. If you don’t finish any meat tho, you will get charged so just a heads up there. Would definitely return!","2022-08-01 18:25:41.268877+00:00"
"Ako","False","True","4","Got the sushi and sashimi platter for 2. Was a good amount of food. Nice service. Aesthetics on point. Music was A1 at this place. They played a lil bit of everything. ","2022-05-28 12:40:20.115214+00:00"
"Borrachito","False","True","3","For 4 tacos it was like $25. They were solid but it wasn’t filling enough for me. Fun fact if you walk inside through the soda machine it’s a speakeasy. That’s pretty much why I went and the fact that it’s 30 secs from my place. ","2022-05-28 12:38:35.428648+00:00"
"Taverna Kyclades East Village","False","True","4","Strong 4. Scallops were very tasty and filling. 5 hummus appetizer was also really good with the pita. Our waitress was super friendly and gave us free baklava on the house.","2022-04-19 16:52:22.539412+00:00"
"Cervo's","False","True","5","Must must must try this place while eating outside. Service is quick and food was great. Their aperol spritz was well made","2022-09-07 02:59:02.807504+00:00"
