"Place","Want to taste","Tasted","Rating","Review","Timestamp"
"Wooboi Chicken","False","True","5","@aish and I were craving fried chicken sandwiches and wooboi ALWAYS hits (idk how she found it 😩). I’ve gotten their “sando” sandwich which is really good and you can get different spice levels as well! definitely worth to try at least once","2022-05-18 15:17:21.569377+00:00"
"Summer House Santa Monica","False","True","3","mediocre food, I feel like this is a more touristy place because the place is very Instagram aesthetic","2022-05-03 17:16:56.209055+00:00"
"Aba","False","True","5","this is a chain and now I DEFFO want to go to the one in Chicago. got the favorite spreads which had 3 spreads - feta, chillis and hummus. it was so freakin good and the pita was so fresh.

got shrimp scampi (very good but kinda too buttery for my taste) and chicken kabobs which were very flavorful","2022-07-08 15:55:12.582789+00:00"
"Level Restaurant & Bar","False","True","5","VERY GOOD SUSHI and fried rice!! fam got the calamari (banger), spider roll and level up roll and a couple makis. we also got chicken Malaysian fried rice. everything was very good and presentation was 💯, definitely recommend if you are craving sushi in the richmond area","2022-05-14 17:57:38.947289+00:00"
"Zeus Restaurant","False","True","5","this gyro was fire look how much beef they gave!! it hit the spot and I added some hot peppers and lettuce as well","2022-06-12 15:38:28.685765+00:00"
"ilcaffè","False","True","5","PERFECT place for an early morning coffee - I am not a coffee drinker so I ordered the chai latte and split an apple danish with my friend. I'm usually very picky about chai lattes, but this was a top tier latte. would definitely get it again if i lived in the downtown area.

the danish was so fresh and warm, literally melted in my mouth. it was the best start to the day and service was 10/10","2022-05-11 15:58:41.086518+00:00"
"Te'amo Boba Bar","False","True","5","the wait is absolutely ridiculous so I suggest you order ahead of time (online) but the boba is so good and worth the wait","2022-04-19 16:58:20.518426+00:00"
"Victory Sandwich","False","True","4","such a cute little sandwich for only $5! I don't think I would get the peanut noodles, they were meh. but I really enjoyed my chicken sandwich","2022-11-11 14:23:42.161018+00:00"
"Vajra","False","True","5","best comfort Indian food, I order takeout here whenever I miss my mom's cooking 🥲","2022-04-19 03:47:52.330857+00:00"
"Wildberry Pancakes and Cafe","False","True","5","If you haven't been to wildberry for brunch, it is a Chicago MUST. I usually go there for touristy visits, my sister was visiting and we were craving some good hearty food. The wait time can be long, depending on when you go. We got there at 11 am on a Saturday and had to wait outside for 30 minutes but was so worth!

Once we got inside, we ordered hot chocolate which came instantly and was SO tasty. Also only $4 for a huge mug - steal 😍

my sister and I split the Mexicana skillet and the
chocolate chip and banana pancakes. The food
came out so quickly and everything tasted so fresh. We had so much food and ended up taking most of the pancakes home LOL

Overall, a solid meal, good mix of savory and sweet! 10/10 would recommend, I've gone to wildberry many times and it's always worth.","2022-05-10 02:25:40.390475+00:00"
