"Place","Want to taste","Tasted","Rating","Review","Timestamp"
"HipCityVeg","False","True","3","HipCityVeg was recommended to me as one of the best fake meat spots in the DMV! As a vegetarian, I can affirm that HipCityVeg does not disappoint. I tried their fake chicken (chick'n) on two styles of burgers - one traditional Buffalo chicken and the second a Mediterranean. All the ingredients pair together extremely well to create a unique experience with every bite. I recommend trying the Bistro Bella sub chick'n! Although a little pricey, overall @supershrinath approved!","2022-05-11 05:48:15.705989+00:00"
"Chuy's","False","True","5","Chuy’s is definitely one of my go-to tex-mex spots, however I’ve heard that it hits different in Texas. So I was super excited to try it in Dallas! Plus one of my friends always raved about his Chuy’s ritual, which he dubbed as the “Chuy’s Parth Patel Experience.” 

Before starting your meal, Parth always orders the complimentary fresh tortillas with a bowl of salsa, ranchero, and boom boom per person. You then take your hot tortilla, spread each of the sauces in layers, and finally top it off with crush tortilla chips. I kid you not, it tastes absolutely AMAZING! 

I ordered the veggie enchiladas smothered in boom boom sauce. It’s spinach, onions, zucchini, red bell peppers, serranos, roasted green chiles, corn, and cheese all wrapped in a flour or corn tortilla with a side of beans and rice. The enchiladas always taste super fresh and are filling. But it’s the boom boom sauce that steals the show. It pairs well with all the flavors of the seasoned veggies and never disappoints. 

Chuy’s is also one of my favorite spots because of their assortment of sauces. Although I like the boom boom the best, I highly recommend trying them all out to find your favorite. I also order the ranchero on the side anyways! 

The tomatillo sauce is tangy but mild and made from fresh green tomatillos, green onions, cilantro, and garlic. The deluxe tomatillo adds in sour cream, herbs, and spices for a creamier finish. The ranchero made with fire-roasted tomatoes, caramelized onions, bell peppers, cilantro, spices giving it a zesty flavor. The fan favorite boom boom is made from roasted New Mexican chiles, tomatillos, green onions, cilantro, and melted cheese. I always wanted try to the green chile and hatch green chile but unfortunately they aren’t vegetarian. 

Overall this Chuy’s has a great ambiance, had unlimited chips and salsa, and restaurant was HUGE! Pro-tip: if you order two half portions of a dish, you get double the sides! ","2022-05-18 20:45:54.276839+00:00"
"matchbox","False","True","4","Matchbox in Pentagon City was just like it's counterparts but with more elegant seating and a nicer ambiance. The restaurant is perfect for a date or a big celebration with friends and family.

All their pies are super light yet crispy. Each is packed with flavor and I highly recommend trying any one of their specialty pies.

I ordered the Fire + Smoke with a side of ranch. The Fire + Smoke was absolutely amazing with chipotle purée, roasted garlic, onions, red peppers, smoked gouda, basil, and a zesty tomato sauce. The pie was cooked till well done with a light char. The food is on the pricier side, ESPECIALLY for pizza. 

Pro tip: if you’re not into smoky flavors but love spice, they’ll make the Fire + Smoke without the chipotle/smoky ingredients but maintain the fire! ","2022-05-10 18:23:57.836846+00:00"
"Andy's Pizza","False","True","4","Lots of cities are known for great pizza, but unfortunately DC isn’t one of them. Which is why I was so excited to finally try Andy’s Pizza in Tysons II. I’d heard GREAT reviews about Andy’s pizza and was told that it’s a DC-Area must have. Let me tell you, Andy’s did not disappoint! 

We ordered four different slices (classic cheese, margherita, white with a side of mikes hot honey, and mushroom & onion) and Old Bay Fries. Every slice was light yet full of toppings and cheeses. The crust was baked to well done with a light char, resembling real NY style pizza! 

As the winner of the 2021 World Pizza Championship, you know I had to try the classic cheese first. It was definitely the best NY style slice I’ve had in DC and it made my top five of all time in that category. For me it was the sauce that truly stole the show and elevated my experience. Andy’s red sauce is some of the best I’ve had in a very long time. 

The margherita was solid but again just very similar to the cheese. However I did like the added basil and parmigiano flavors. The white slice, made with roasted garlic olive oil, mozzarella, provolone, and ricotta soprafina, was honestly okay but tasted much better with a drizzle of Mike’s Hot Honey. I’ve been trying to get into hot honey, so this was definitely a good introductory experience. Finally the mushroom & onion slice was made with roasted garlic olive oil, mozzarella, provolone, roasted cremini mushrooms, and caramelized onions. It was great but unmatched relative to its marinara sauce counterparts. 

I was also pleasantly surprised to fall in love with their Old Bay Fries. The fries were cooked and seasoned with Old Bay, making for a super savory and zesty experience. They were also fresh and crunchy, making it the perfect fry! 

Overall, I loved Andy’s. I’m excited to go back and try their Sicilian pies! ","2022-05-19 03:01:50.605781+00:00"
"Ristorante Margherita","False","True","4","Margherita Ristorante Pizzeria is a solid pizza and Italian spot in Barcelona, Spain! 

Their menu is super diverse, including options for individuals on any diet. We ordered the potato gnocchi and pizza capricciosa. 

The potato gnocchi was cooked in an homemade Genovese pesto with basil, parmesan, pine nuts, and garlic. The gnocchi was soft and packed with pesto flavor!

The pizza capricciosa had a tomato sauce base and was topped with mozzarella, mushrooms, artichokes, peppers, and black olives. I took off the ham since I’m vegetarian! Overall the pie was cooked well done to a char and was a great Italian neapolitan style slice. ","2022-05-11 19:49:16.983479+00:00"
"Soul Taco","False","True","3","I'd seen some amazing reviews, so decided to try out Soul Taco! The cute little shop is tucked away in the streets of Richmond and carries a small but cozy atmosphere.

We tried three dishes: flaming hot cheeto elote loco, sweet potato & black eyed peas taco, and the Buffalo cauliflower taco.

The elote loco was pretty much a roasted corn on the cob, topped with a spicy aioli, cotija cheese and then rolled in flaming hot cheeto dust and cilantro. In looked AMAZING, but didn't live up the hype. Definitely worth a one-time try though.

The tacos were both okay as well. I liked the Buffalo cauliflower taco over the sweet potato & black eyed pease, but neither were groundbreaking.","2022-05-11 05:23:48.102359+00:00"
"Carmello's Restaurant & Wine Bar","False","True","3","A little hard to find, but Carmello's is a solid Italian spot in Charlottesville, VA. Honestly my favorite part of the meal was their bread and seasoned butter - it was so fresh and warm and just melted in my mouth. As a vegetarian, I ordered ravioli with spinach and cheese. It was good but nothing special. I do recommend this Carmello's at least once simply for their bread and butter!","2022-05-11 05:21:39.396746+00:00"
"The Virginian","False","True","4","The Virginian is a Charlottesville and UVA classic! As a wahoo, my roommate and I frequented the Virg all the time.

My all time favorite dishes were their Famous Spinach & Artichoke Dip and Stumble Down Mac N' Cheese. Both dishes were fresh and packed with amazing flavors. The meal also went well with a side of their crispy fries. The Famous Spinach & Artichoke Dip is rich and creamy and is perfectly coupled with their house made tortilla chips. My favorite part of the Stumble Down Mac N' Cheese is the jalapeños pepper Jack cheese sauce and the potato pie laid on top of the mac. All together it's a filling and delicious meal!

Pro tip: if you're looking for a quick for filling snack, get the appetizer sized Stumble Down Mac N' Cheese!

I highly recommend the Virg in general to anyone visiting UVA or doing a Charlottesville food tour.","2022-05-11 05:46:56.239974+00:00"
"Christian's Pizza","False","True","5","Christian's Pizza will always be my favorite and go-to late night pizza spot at UVA and in Charlottesville. Their slices are baked fresh upon arrival and taste so good. They also have loads of unique toppings and pies to choose from!

My favorite slice at Christian's will forever be their Avocado Feta Pizza (AvoFeta). A couple other favorites are the Margherita, Pesto Tortellini, Classic Cheese, Mushroom on White!","2022-05-11 05:19:32.664877+00:00"
"The Pie Chest","False","True","5","The Pie Chest is a gem hidden away in the Charlottesville Downtown Mall. All of their sweet pies are TO DIE FOR. Each have their own perfect flavors and are enveloped in the most delicious and light crust. Each day is also filled with new flavors so there is always a new treat to try.

P.S. The Pecan Pie is one of my all time favorites!","2022-05-11 05:25:24.807307+00:00"
