"Place","Want to taste","Tasted","Rating","Review","Timestamp"
"Rule Of Thirds","False","True","5","","2022-07-20 02:43:44.192285+00:00"
"Shuka","False","True","5","","2022-07-20 02:43:10.146173+00:00"
"Miss Ada","False","True","5","Accidentally tried skate, thinking it was chicken. Still pretty good but the whipped ricotta was by far the best part ","2022-06-04 17:32:09.140884+00:00"
"Mint Heights","False","True","5","","2022-05-10 11:00:35.865950+00:00"
"Supper","False","True","5","💯","2022-04-02 02:00:40.963530+00:00"
"Canto","False","True","5","","2022-07-20 02:43:26.966284+00:00"
"Rubirosa Ristorante","False","True","5","","2022-04-02 23:28:15.645918+00:00"
"Superica - Houston","False","True","5","","2022-04-30 22:58:46.024494+00:00"
"Tong","False","True","5","Had the fried chicken appetizer and pad see ew with chicken","2022-04-04 00:39:26.858495+00:00"
"Patsy's Pizzeria","False","True","5","","2022-04-15 00:19:24.494220+00:00"
"Steak 48","False","True","5","","2022-04-30 22:57:45.445053+00:00"
"Brooklyn's Homeslice Pizzeria","False","True","5","","2022-07-07 00:18:02.024420+00:00"
"Harlem Shake","False","True","3","","2022-06-26 09:52:25.397800+00:00"
"King's Cafe","True","False","","",""
"Taco Mahal","True","False","","",""
