"Place","Want to taste","Tasted","Rating","Review","Timestamp"
"Doppio Zero","False","True","4","Overall, very good service. On a busy night in Hayes, this is often the only Italian spot without a wait. The food isn’t extraordinary, but it’s reliable and the service is fast. ","2022-03-27 16:33:33.450779+00:00"
"Curry Up Now","False","True","5","Excellent! Strongly recommend getting Chaat here — Pav bhajji, papdi chaat, samosa chaat, sev puri etc. The Kathi rolls and plates are okay, but the Chaat is where this place really shines.  ","2022-03-27 17:21:25.168695+00:00"
"4505 Burgers & BBQ","False","True","5","Really amazing burger! Also great vibes/ambiance","2022-04-01 04:31:13.922595+00:00"
"Montesacro Pinseria Romana","False","True","4","Got some pizzas and apps, they were good. The pizza bread/crust was super fresh and perfect","2022-04-04 01:27:52.753870+00:00"
"SAJJ Mediterranean - San Francisco","False","True","5","Yum yum yum. Filling, reasonably priced, healthy ","2022-03-27 17:12:39.309224+00:00"
"Jaranita","False","True","5","Awesome Peruvian restaurant in the Marina. Went for brunch, their empanadas were great. My friend got Pulpa (octopus) and said it was phenomenal. My only small complaint was that there weren’t many veggie options

PSA the back patio has really nice vibes, looks way nicer than their indoor seating or their frontside outdoor seating. ","2022-05-08 17:49:47.252047+00:00"
"BAIA","False","True","4","Ambiance is nice, and food was also good overall. I will say, you can definitely tell it’s vegan. Still giving it 4 stars because for an all-vegan restaurant, it’s pretty good ","2022-03-27 16:37:32.274365+00:00"
"Pink Onion","False","True","4","Good! ","2022-03-27 17:19:15.904119+00:00"
"Besharam","False","True","3","I found the food kind of bland and overpriced  - very possible we didn’t order the right things. Will go again since folks say it’s good!   ","2022-04-30 19:17:49.278661+00:00"
"Red Chilli","False","True","4","One of the better places for Momos in the city","2022-03-27 16:56:15.509530+00:00"
"Mezzo","False","True","5","The Berkeley special sandwich is soooooooo good. Their homemade hummus is  incredible, I think this might be my favorite veggie sandwich of all time. Also great sit down vibes especially during the day - the back patio is elite! You could also grab a beer at Raleigh’s right next door ","2022-05-08 17:58:09.643583+00:00"
"Brandy Ho's Hunan Food","False","True","5","Great hole-in-the-wall spot in Chinatown. No reservation etc needed. Loved their deep fried veggie and meat dumplings (I know, deep frying dumplings sounds like a bit much but gosh it was so good). Also loved the general tso’s chicken and the chow mein! ","2022-04-30 19:23:31.664389+00:00"
"The Cheesecake Factory","False","True","5","5/5 for cheesecakes. My favorites - classic strawberry cheesecake, Godiva cheesecake, Dulce de leche & Salted caramel cheesecakes 

4/5 for rest of the food. The brown bread they give at the table is shockingly good but rest of the food wasn’t that great. Maybe I ordered the wrong things, I hear the Chipotle pasta is good? ","2022-04-30 17:14:24.547953+00:00"
"Tony's Pizza Napoletana","False","True","5","Got takeout; did not disappoint!","2022-03-27 16:47:14.196831+00:00"
"China Live","False","True","5","One of the best places for upscale Chinese food in the city. They have veggie options too: Definitely a bit expensive, but worth!","2022-04-07 15:22:24.577260+00:00"
"Linden & Laguna","False","True","3","It’s a wine bar in Hayes. It’s fine. Good selection of wines but kind of overpriced. Expected a bit more ","2022-04-30 19:31:05.362279+00:00"
"Udupi Palace","False","True","4","One of the only spots for South Indian food in SF","2022-03-29 05:14:56.759284+00:00"
"Kinara Fusion Kitchen","False","True","5","This place is soooo good, is esp known for meat dishes. Yes it’s in the TL, but I can’t recommend it  enough. I got chicken 65 and lamb biryani - both incredible. On the veggie side, got pani puri, which slapped. i will regularly be craving this place!!! ","2022-05-22 20:03:00.139617+00:00"
"Picaro","False","True","4","Very cute spot adorned with old paintings, photographs and instruments. I’ve been here a couple times - the patatas bravas here are incredible, rest of the food is alright. ","2022-03-27 16:54:32.263895+00:00"
"Marufuku Ramen","False","True","5","Solid ramen. Note - It’s located within Japan center mall and ambiance is okay. It can be pretty crowded too, so just keep wait times in mind ","2022-04-01 04:48:44.347877+00:00"
"Bhoga","False","True","3","Food was a bit bland. You can tell that this place is catered to a non Indian audience ","2022-03-27 16:45:44.508336+00:00"
"RAW Sugar Factory","False","True","4","I like this place overall ! It’s cute and the food is decent. ","2022-03-27 17:23:51.424511+00:00"
"Malibu Farm Restaurant","False","True","4","Food was honestly meh but the view was spectacular. Suggest going here just for views + snacks/drinks ","2022-06-04 17:03:21.615069+00:00"
"Mourad","False","True","3","I was slightly disappointed by the food, especially given it’s such a pricey spot. ","2022-03-27 16:44:42.597198+00:00"
"Daeho Kalbijjim & Beef Soup","False","True","5","🤤🤤","2022-05-13 02:57:46.360704+00:00"
