"Place","Want to taste","Tasted","Rating","Review","Timestamp"
"Osha Thai Restaurant & Bar","False","False","3","SRITEST","2022-05-21 00:28:21.370130+00:00"
"Driftwood Deli & Market","False","True","5","Great cheap sandwiches","2022-05-22 18:52:10.717134+00:00"
"The Qui Korean Grille","False","True","5","SRITEST","2022-07-26 23:59:12.630393+00:00"
"Choongman Chicken","False","False","3","SRITEST","2022-05-17 22:24:01.401451+00:00"
"Giordano's","False","False","3","SRITEST","2022-05-19 01:58:27.376964+00:00"
"Tacombi","False","False","3","SRITEST","2022-05-24 22:49:57.364282+00:00"
"Palette 22","False","True","2","SRITEST","2022-07-27 01:37:13.301056+00:00"
"Giordano's","False","False","4","Fine","2022-05-19 00:37:59.152590+00:00"
"Osha Thai Restaurant & Bar","False","False","3","","2022-05-25 04:34:52.695399+00:00"
"Local Union 271","False","False","4","Good local food in Palo alto","2022-06-01 00:04:13.052362+00:00"
"Test Kitchen","False","False","3","SRITEST","2022-06-03 01:56:00.247817+00:00"
"Palette 22","False","True","1","SRITEST","2022-07-26 23:58:06.337110+00:00"
"Golden Boy Pizza","False","False","3","SRITEST","2022-05-18 00:30:09.443962+00:00"
"Noku","False","True","5","SRITEST","2022-07-27 01:36:02.543836+00:00"
"Chuy's","False","True","3","SRITEST","2022-07-26 22:56:45.757516+00:00"
"Test Kitchen","False","False","3","","2022-06-03 01:56:13.877805+00:00"
"Taqueria El Grullense M & G","False","False","4","Decent burritos. Tons of locals go here","2022-06-11 22:07:20.176380+00:00"
"Baazi","False","True","5","SRITEST","2022-07-26 23:40:33.829077+00:00"
"Lou Malnati's Pizzeria","False","False","4","Classic deep dish","2022-05-19 00:17:45.547919+00:00"
"Lou Malnati's Pizzeria","False","False","4","Good","2022-05-21 01:00:23.991448+00:00"
"Got Dumplings","False","True","3","SRITEST","2022-07-26 22:56:54.960049+00:00"
"Souvla","False","False","3","SRITEST","2022-06-17 00:44:44.047142+00:00"
"Project Juice","False","False","3","","2022-06-03 01:55:11.799815+00:00"
"Barrel & Bushel","False","True","4","SRITEST","2022-07-26 22:56:20.814592+00:00"
"Giordano's","False","False","4","Good","2022-05-20 01:49:43.703639+00:00"
"Fambrini's Cafe","False","False","5","A top 2 or 3 sandwich place in the South Bay.","2022-05-22 19:06:18.445181+00:00"
"Wildseed","False","False","5","Vegan","2022-06-10 02:42:33.949398+00:00"
"Lou Malnati's Pizzeria","False","False","4","Test","2022-05-22 18:38:59.143113+00:00"
"Joe's Pizza","False","True","1","SRITEST","2022-07-26 23:49:50.214899+00:00"
"Joe's Pizza","False","True","3","SRITEST","2022-08-04 01:50:15.535030+00:00"
"Test Kitchen","False","False","3","SRITEST","2022-05-21 15:30:18.732603+00:00"
"Banh Mi Zon","False","True","3","SRITEST","2022-07-26 22:56:12.211725+00:00"
"Taste of India","False","True","4","Test","2022-07-05 20:56:09.652961+00:00"
"Project Juice","False","False","3","SRITEST","2022-06-03 01:54:59.852230+00:00"
"Zareen's","False","False","5","Best place in Palo Alto","2022-05-22 18:47:45.050819+00:00"
"King Tandoori","False","True","5","SRITEST","2022-07-26 23:49:09.570641+00:00"
"Osha Thai Restaurant & Bar","False","False","3","SRITEST","2022-05-21 00:33:26.732249+00:00"
"Shizen","False","False","3","shizen","2022-06-06 03:50:15.136468+00:00"
"Cereal Box","False","True","4","SRITEST","2022-07-26 22:56:33.907095+00:00"
"Ralphs","False","False","3","Good","2022-06-14 15:18:07.357719+00:00"
"Driftwood Deli & Market","False","True","5","Great local sandwiches","2022-06-30 01:15:08.322224+00:00"
"Joe's Pizza","False","True","4","SRITEST","2022-07-27 01:39:04.252007+00:00"
"Souvla","False","False","3","SRITEST","2022-06-18 18:36:31.272922+00:00"
"Gino’s East","False","False","4","Good pizza","2022-05-19 00:27:38.709094+00:00"
"Test Kitchen","False","False","3","Longer review
Here it is

This is long enough","2022-06-03 01:55:39.394401+00:00"
"Daniel’s Test Kitchen","False","False","3","SRITEST","2022-05-20 23:38:54.842945+00:00"
"Ike's Love & Sandwiches","False","False","4","Really good sandwiches","2022-05-22 18:58:13.880456+00:00"
"Choongman Chicken","False","False","4","SRITEST","2022-05-17 22:28:14.684784+00:00"
"Akna","False","False","5","SRITEST","2022-06-17 17:10:52.912369+00:00"
"Crash Test Yummies","False","False","4","SRITEST","2022-05-22 20:07:35.365603+00:00"
"Au Cheval","False","False","5","Great burgers","2022-05-21 00:40:02.254219+00:00"
"Crash Test Yummies","False","False","3","SRITEST","2022-05-22 20:23:33.225820+00:00"
"Golden Boy Pizza","False","False","3","SRITEST","2022-05-18 00:36:28.440411+00:00"
"King Tandoori","False","True","5","SRITEST","2022-07-27 01:37:54.824810+00:00"
"Noku","False","True","3","SRITEST","2022-07-26 22:55:54.727720+00:00"
