"Place","Want to taste","Tasted","Rating","Review","Timestamp"
"Contramar","False","True","5","This place has the best tuna tostada I’ve ever had. The red and green whole fish is super good too","2022-04-10 00:54:34.239591+00:00"
"Zou Zou's","False","True","4","Super good medeterrian food but an incredible ambiance. Recommend all the dips and the honey pull apart bread. the branzino and fried chicken were so good too. Skip the kassari cheese but deff get the charred broccoli. Skip the drinks, they are average. This is a 4.5/5 place. ","2022-05-18 04:15:58.010394+00:00"
"Limantour","False","True","4","Supposedly the #1 bar in North America in 2021 but I wasn’t blown away by it. Drinks were really solid but ambiance was very mediocre. We went to the one in Polonco so not the main location. I’d recommend going to the one in Roma Northe. The mezcal drinks were the best ones.  ","2022-04-11 15:22:39.614738+00:00"
"Katsuya","False","True","3","Great vibes and outdoor eating area. Food is expensive and decent but nothing to sing home about. Fine to go once if you wanna try it ","2022-05-27 03:08:15.371955+00:00"
"Soothr Thai Noodle Bar","False","True","5","It was great. Top tier thai spot in nyc. I recommend to da homies gang gang ","2022-02-26 21:24:49.710927+00:00"
"Kanoyama Restaurant","False","True","5","","2022-02-23 04:49:07.460903+00:00"
"Birds of a Feather","False","True","4","Very solid dim sum! Get the sake too ","2022-05-14 21:56:12.905057+00:00"
"KazuNori","False","True","4","Solid hand rolls served at a bar counter. Best deal is to get a pre made set. It’s only walk in and there is always a line but moves quick. Great hand rolls that you can’t go wrong with. I recommend ","2022-04-21 00:25:28.242326+00:00"
"Los Tacos No.1","False","True","5","","2022-02-23 04:49:52.980288+00:00"
"Mercado - Los Angeles","False","True","3","The new pina was one of the best drinks I’ve had. Food was average and expensive ","2022-05-05 02:07:15.956190+00:00"
"Thai Villa","False","True","4","","2022-02-23 04:47:54.128821+00:00"
"Panadería Rosetta","False","True","5","The croissant sandwiches and pastries were really good. Amazing price point and great way to start the morning ","2022-04-08 16:46:32.703815+00:00"
"Scoville Hot Chicken","False","True","5","Amazing chicken sandwiches ","2022-05-14 21:57:17.906774+00:00"
