"Place","Want to taste","Tasted","Rating","Review","Timestamp"
"Nopa","False","True","4","Good food, but nothing out of this world and very heavy. Got try it once though! ","2022-04-22 15:21:28.901172+00:00"
"Penny Roma","False","True","5","INCREDIBLE pasta and apps!!!!! Highly highly highly recommend ","2022-04-16 03:58:59.267027+00:00"
"Souvla","False","True","4","Always a classic! But starting to get bored of the same four options… ","2022-04-28 06:22:26.351613+00:00"
"Besharam","False","True","5","Been here four times now, solid Indian food!! With a creative twist! Drinks and chaat always great ","2022-04-30 17:31:17.948115+00:00"
"Chubby Noodle","False","True","5","One of my favorite noodle places! Love chicken chow mein and string beans ","2022-07-01 17:36:16.809249+00:00"
"Eats","False","True","5","Green detox juice, breakfast burrito, and waffle with berries gave me life on a hungover Sunday ","2022-04-18 19:35:51.140001+00:00"
"Deli Man","False","True","5","Breakfast sandwich best I ever had, sub avo for meat and get it on sourdough :) 10/10","2022-03-24 16:58:55.176035+00:00"
"Automat","False","True","5","Love this cafe! Overpriced but good is solid and ambience is 💯love going here to work!! ","2022-04-22 15:24:08.066947+00:00"
"Hippie Thai Street Food","False","True","3","Average Thai food, medium is so spicy that you can’t taste flavor!! ","2022-04-22 15:19:06.308881+00:00"
"Palmetto Superfoods","False","True","5","Açaí + farmers market on Clement in Sundays is the best start to the week 💯","2022-04-06 15:57:32.343175+00:00"
"Nōvy","False","True","5","AMAZING food at this little spot in Noe Valley that we happened upon randomly. Really good service and fresh food. ","2022-03-24 16:57:37.470230+00:00"
"Little Star Pizza","False","True","5","Great pizza to go! ","2022-04-22 15:22:00.906127+00:00"
"Beretta","False","True","5","Loooove the divis location of this restaurant!!! Pasta so good, especially ravioli! ","2022-04-22 15:20:25.443161+00:00"
"Indian Oven Restaurant","False","True","4","Solid Indian food, just don’t look at the kitchen ","2022-04-28 22:36:17.259732+00:00"
"Wasabi Bistro","False","True","3","Food was very meh but $10 all u can drink! Lychee soju 😍","2022-04-18 19:38:47.147094+00:00"
"Arsicault Bakery","False","True","5","Such a good chocolate croissant!! ","2022-04-06 15:50:06.350719+00:00"
"Blackwood","False","True","5","My favorite is the sizzler dish! ","2022-04-22 15:17:52.546497+00:00"
"Shlock’s","False","True","4","Bagel egg sandwich was solid but nothing out of this world. Needs some spice or secret sauce! ","2022-03-24 16:58:13.472927+00:00"
"ROOH","False","True","4","Drinks are 10/10, food is good but a bit overrated and definitely overpriced. Apps are great though and creative! ","2022-03-24 17:03:43.306386+00:00"
"Salt & Straw - Hayes Valley","False","True","5","BEST ICE CREAM EVER!!! NO LOOKING BACK","2022-03-24 17:04:09.628991+00:00"
"Tartine Bakery","False","True","5","Solid fresh bread and coffee cake. Their brunch/lunch menu is also incredible- first time trying ratatouille!! ","2022-04-16 04:00:13.903836+00:00"
"Viks Chaat","False","True","5","So many options!!!! All so good! Fun place to do family style with friends. Hits the spot!! 👏🏽","2022-04-22 15:25:07.323436+00:00"
"Brenda's Meat & Three","False","True","5","Came here for brunch and tried the omelet- so good!! Biscuit was incredible and so was the sweet coffee. ","2022-04-22 15:22:42.306041+00:00"
"Limewood Bar & Restaurant","False","True","4","Food was good not out of this world but company was the latter 😊","2022-03-27 20:30:17.293925+00:00"
"Mangrove Kitchen","False","True","4","Solid Thai food but not out of this world. Good for when ur craving Thai!","2022-04-16 04:00:55.671651+00:00"
"Papito Hayes","False","True","5","One of the best sit-down Mexican restaurants in the city ","2022-03-24 17:05:34.972786+00:00"
"Beit Rima","False","True","5","First time I ate here during the pandemic and I thought it was average. Today doing family style with a few friends changed my mind!!! Def good place for large groups where you can try everything. Highly recommend the platter! ","2022-04-23 06:46:39.735842+00:00"
"Manitas Cafe","False","True","5","We go back every weekend. It’s so good. Get either the breakfast burrito (spicy!) or the croissant sandwich 💯","2022-04-06 15:56:47.131481+00:00"
"Mangrove Kitchen","False","True","5","Very yummy mango curry (first time trying) and delicious spicy noodles!!","2022-04-06 15:55:53.836752+00:00"
"Shizen","False","True","5","Love the different vegan sushi options! Very creative. Vegan sushi > regular sushi ","2022-03-24 16:56:56.913089+00:00"
"Tsunami Panhandle","False","True","5","Excellent veggie sushi! And plum shochu was incredible. Very good soft tofu soup, first time trying. ","2022-04-16 03:58:29.404906+00:00"
"The Stinking Rose","False","True","3","Food was sadly, average. Gnocchi was good but fettuccine and garlic bread had no flavor!!! Needed salt. Garlic ice cream was great! Had been waiting to try this place and was very underwhelmed. ","2022-04-28 06:21:20.009480+00:00"
"The Baked Bear","True","False","","",""
"Dumpling Home","True","False","","",""
"jū-ni","True","False","","",""
"4505 Burgers & BBQ","True","False","","",""
"Dominique Ansel Bakery","True","False","","",""
