"Place","Want to taste","Tasted","Rating","Review","Timestamp"
"Native Foods Cafe","False","True","4","This is an all-vegan restaurant. The burgers are pretty good and the seasoned fries are sick.","2022-05-22 19:04:50.619862+00:00"
"The Pub","False","True","4","UChicago bar. Speakeasy feel to it.","2022-02-20 20:06:47.877135+00:00"
"Golden Boy Pizza","False","True","5","🔥","2022-01-29 20:21:48.434195+00:00"
"TrueNorth Cafe Hyde Park","False","True","4","Decent cafe near campus. Never too crowded, but nothing particularly special ","2022-08-10 01:18:16.719233+00:00"
"Dishoom","False","True","4","Good, upscale Indian food in the UK. Reminds me a lot of Amber in the Bay Area. Nothing spectacular but the chai is sick.","2022-05-06 22:10:42.870272+00:00"
"Stand-Up Burgers","False","True","4","Really good plant based burgers. Nothing special but it tastes good and always gets the job done","2022-07-18 16:35:27.877480+00:00"
"Frontera Grill","False","True","5","Amazing upscale Mexican place in downtown Chicago. It’s Rick Bayless’ main restaurant (and his most famous). I’ve heard the meat is outstanding but I cannot comment directly on that.","2022-07-18 16:34:33.619368+00:00"
"Gracie O'Malley's Wicker Park","False","True","5","Only real 49ers bar in Chicago. Great atmosphere especially for the playoffs.","2022-02-20 20:12:45.509067+00:00"
"lu•lu","False","True","5","Top 5 ice cream place I’ve ever been. Got the maple soft serve (Vermont staple). My sisters had the Basil ice cream which is their speciality (and also very good)","2022-11-06 20:13:18.647745+00:00"
"Kincade S Bar Grill","False","True","4","Good place to watch college sports.","2022-03-20 14:28:01.837572+00:00"
"Mom's Place","False","True","4","Great dive bar in old town area","2022-02-20 20:08:54.939818+00:00"
"Lotties","False","True","4","Good bar to watch college basketball. It’s a massively popular place in Bucktown.","2022-04-03 16:47:25.605924+00:00"
"Jane","False","True","4","Trendiest coffee shop I’ve been to in a while (didn’t know this going in). Food and drinks are good, but nothing to rave about","2022-06-30 01:25:11.693968+00:00"
"Gracias Madre","False","True","5","The best plant based Mexican food around ","2022-01-29 20:23:40.706387+00:00"
"Wildseed","False","True","5","Amazing vegan place in Palo Alto. The appetizers were outstanding—would recommend getting a few. My mom and sister really liked the cocktails as well","2022-06-11 22:41:17.719545+00:00"
"Le douze","False","True","5","Best crepes anywhere in the world (including France). Run by two women who speak only French (which makes the food 10x better).","2022-03-13 23:56:09.896273+00:00"
"Medici on 57th","False","True","4","Good local food","2022-01-23 19:13:27.027693+00:00"
"Jet's Pizza","False","True","5","Detroit style pizza here is awesome. Best I’ve had outside of detroit","2022-04-30 23:37:01.903357+00:00"
"Cholita Linda","False","True","5","Best affordable food in the Bay Area. Used to go here a bunch in college. It was even better than I remembered","2022-07-04 17:22:55.754184+00:00"
"Round Table Pizza","False","True","5","Best chain pizza out there (by far). Got the garden veggie and the normal veggie. Amazing as usual","2022-07-05 02:05:31.964236+00:00"
"Orchard Tea Garden, Grantchester","False","True","5","This is the most British place I’ve ever been to. The tea and food are good but go here just for the setup.","2022-05-06 22:19:45.115162+00:00"
"Big Shoulders Coffee","False","True","4","Good coffee shop in old town area. Solid but nothing special. Pretty small with limited seating.","2022-04-17 18:51:11.950752+00:00"
"Prince Street Pizza","False","True","5","The best square slice in Manhattan ","2022-02-09 02:15:02.391551+00:00"
"Small Cheval","False","True","4","Went to the one that just opened in Hyde Park. The plant based burger was good, though I know they are more known for their meat options ","2022-08-21 20:50:52.385050+00:00"
"Flores","False","True","4","Really good Mexican food, even for vegetarians. Only downside is that it’s pretty expensive.","2022-06-30 01:23:36.841346+00:00"
"Cafe 53","False","True","5","Best vegan sandwiches in south chicago","2022-02-17 02:38:48.046265+00:00"
"John's of Bleecker Street","False","True","5","Maybe the best pizza in NYC","2022-02-17 02:41:50.364866+00:00"
"Zareen's","False","True","5","The best food in the South Bay. The naan is awesome and the chai is sick. Lines can get very long but it’s worth the wait","2022-06-21 01:17:47.233716+00:00"
"Cafe Cremerie","False","True","5","A proper French/Italian style cafe with an incredible getup. The coffee was good and very reasonably priced. They had a bunch of food and wine that looked awesome but I didn’t have. I’ll def have to come back","2022-08-21 20:53:34.085935+00:00"
"Kelly's Cellars","False","True","5","Best Irish pub in the world. Mostly outdoor and people bring guitars and play music. The beef stew is also apparently a classic","2022-03-13 23:59:46.256983+00:00"
"Como Esta Taqueria","False","True","4","Good cheap mexican food that gets the job done. It’s always enjoyable","2022-06-30 01:28:08.336941+00:00"
"XOCO","False","True","5","Great Mexican food. Probably the best is Chicago.","2022-02-18 02:19:41.591034+00:00"
"Lou Malnati's Pizzeria","False","True","4","Pretty good deep dish. If you are in Chicago it is worth a try.","2022-03-19 12:36:15.466367+00:00"
"Cumin","False","True","4","One of the better Indian places I’ve been to in Chicago (admittedly I haven’t been to many). I had the veg biriyani and it was really good, especially for the price & quantity","2022-07-23 22:31:32.057036+00:00"
"Siam Thai Cuisine","False","True","2","Cheap Thai place in Hyde park. Got the pad Thai, and it wasn’t very flavorful. There are better Thai options in this area","2022-07-17 18:52:59.996379+00:00"
"Ike's Love & Sandwiches","False","True","5","Gas as always. Got the Meatless Mike this time, and it was outstanding as usual","2022-06-30 01:29:10.698955+00:00"
"Bleecker Street Pizza","True","True","4","Pretty good","2022-02-18 02:12:43.095386+00:00"
"Lombardi's","False","True","4","Classic place, worth trying.","2022-02-17 02:31:54.056007+00:00"
"Grimaldi's","False","True","4","Test","2022-02-18 02:10:41.577505+00:00"
"Pint Shop","False","True","5","Great bar in Cambridge. Used to go here all the time when at school there.","2022-05-06 22:14:34.409832+00:00"
"Fireside Pizza Company","False","True","3","Ate here after running Broken Arrow 50K. I was so tired and hungry that it tasted good at the time. Objectively was just average","2022-06-21 00:58:18.326517+00:00"
