"Place","Want to taste","Tasted","Rating","Review","Timestamp"
"Flex Mussels","False","True","4","Oooh what a fun concept - bowls of mussels in a cozy spot! Get the Thai mussels, the broth was great. Didn’t blow me away but was a great little find! Would go back","2022-04-02 14:51:29.808897+00:00"
"ILCHA","False","True","5","New spot in the Marina! It’s designed to eat light food and drink as a pregame before a night out. The food was really good, high quality ingredients and the dessert was delicious! They asked us for our honest take at the end for feedback which I really appreciated","2022-04-08 04:56:22.528604+00:00"
"Kubeh","False","True","4","Solid middle eastern food, nice vibes, tons of seating in WV","2022-04-03 16:10:42.355392+00:00"
"Takumi Omakase","False","True","5","","2022-03-27 16:41:07.419467+00:00"
"Baker & co","False","True","5","Super crowded on a sat night, had a delicious branzino! Been here for brunch before and was a nice spot in WV for it ","2022-04-24 03:51:25.138217+00:00"
"Jeju Noodle Bar","False","True","5","Definitely a must-go!! Really delicious Korean noodles. If you’re down to splurge, get the toro ssam bap (tuna & caviar appetizer). If you can’t get a res, be there right before 5pm to get seated as soon as they open","2022-04-24 03:58:04.596968+00:00"
"Her Name Is Han","False","True","4","Note: I have a really high bar for Korean food, this was a bit more Korean fusion. Great food and fun vibes 🥳","2022-06-18 20:18:23.959640+00:00"
"L'Artusi","False","True","4","For all the hype - just didn’t blow me away. We also went for brunch instead of dinner. Had the regular spaghetti which was recommended by a friend and the waitress, was delicious! ","2022-06-13 16:03:20.967213+00:00"
"Rubirosa Ristorante","True","False","","",""
"Wayan","True","False","","",""
"Carbone","True","False","","",""
"Rezdôra","True","False","","",""
"Lucali","True","False","","",""
