"Place","Want to taste","Tasted","Rating","Review","Timestamp"
"Adel's Famous Halal Food","False","True","5","Had been before but had to go back off Vamsi’s rec.- it’s so good. Get the classic chicken over rice with hot and white sauce, there’s a reason the line stretches far. Well worth the wait, and portion size is enough that you’ll probably have leftovers. ","2022-05-10 13:01:39.415163+00:00"
"Texas Rotisserie & Grill","False","True","4","Got the beef brisket with 2 sides: baked potato and corn. I was surpriiised how much portion sizes were; I expected to be one flank of meat but the entire plate was full of meat. And it was tender and well-flavored, blend of pulled and whole meat. The baked potato was the whole potato, and you can’t really mess up corn. And they threw in a free cornbread too! All relatively cheap as well, great bang for your buck.","2022-06-14 01:54:00.326035+00:00"
"Taco Bell","False","True","5","Even when you’re in the middle of nowhere upstate and it’s 12am, TB comes in clutch and always slaps. 10/10 for consistency.","2022-08-20 16:58:09.064034+00:00"
"Aqua Boil","False","True","1","I thought about giving this 2 stars but I literally couldn’t finish the food. It had a chill ambiance and great staff but bad food is bad food. Lobster felt sour, Crab felt too bitter. Nothing had enough salt but only gave one lemon. And it was waaaay expensive. ","2022-09-02 02:30:16.203387+00:00"
"5 Napkin Burger","False","True","2","Realistically more of a 3 but ive been twice and neither was great, and the last time was particularly weak. Long wait for table for 2, ordered an app at the bar that never came, and table had a spill underneath that I had to ask someone to clean. Prices also feel pretty high, which is par for the course for old American bars, but usually quality of food is better. Got their namesake patty melt and it was fine - pretty greasy and cheese overpowers all other tastes. ","2022-08-23 15:49:33.524476+00:00"
"Mom's Kitchen & Bar","False","True","4","Breakfast burrito was amazing, sweet & savory mix. Red Velvet milkshake was insane, there was a literal cake slice on top of it. Steak was decent, chicken & waffles were good but maple syrup was weirdly spicy. Bit expensive so can’t go often but would definitely go again. Great vibe too, borderline 5 stars.","2022-05-07 19:29:37.832023+00:00"
"Toasties","False","True","1","Gave this a second try for some reason. Wasnt worth it. Got the EZ sandwich - waay too much sauce yet no flavor. Meat and toppings were also pretty flavorless, and the mushrooms were super chewy. I also ordered a protein shake, that’s 3 ingredients: milk, PB, and banana. Very simple, hard to mess up. What they sent me is some green looking monster that reeks of old kale. Def not a shake of any kind. 

Will not be going back for a third try. ","2022-05-23 16:53:04.206613+00:00"
"Grazie Grazie","False","True","4","Breaded chicken sandwich was fire, but hard to pick - lots of artisanal options. Waffle fries were solid. Whole restaurant felt a little overhyped tho, especially considering other options in the Wharf","2022-03-27 00:42:56.699753+00:00"
"V{IV}","False","True","5","After trying a few more Thai places, I think is definitely my go-to. Does Thai the way I like it, and closest I’ve had in NY to the middle school g.o.a.t.: Sense of Thai Ashburn. ","2022-08-23 15:43:48.997236+00:00"
"Sacco Pizza","False","True","4","Some of the best Sicilian pizza I’ve had in NY. The crust was firm but also fluffy so it never felt too heavy. The cheese and sauce were also really flavorful - think the sauce mightve been the MVP, just great pizza sauce, real tomato flavor etc. Im convinced that the way to succeed here is just stick to cheese. ","2022-09-14 12:44:11.981891+00:00"
