"Place","Want to taste","Tasted","Rating","Review","Timestamp"
"Cafe at the Swedish Church of New York","False","True","5","I had the best cinnamon roll of my life here. It was so good you have to go and they have all these swedish treats!! Highly recommend. The sandwich was just open face bread but the swiss cheese was good ","2022-06-13 16:59:56.184185+00:00"
"Baar Baar","False","True","3","If you’re a rooh fan, baar baar is for you. Personally I don’t think it’s filling enough to justify the cost. Plus you get up and dance and then they put your food out it gets cold, I’m not the biggest fan. I think there are better upscale indian fine dining. ","2022-05-14 12:59:53.400928+00:00"
"Mas Veggies Vegan Taqueria","False","True","5","The tacos and diablo sauce were fire. They didnt have AC working which was the only painpoint on a hot summer night but I really liked it. It’s inside Veggie Grill. ","2022-07-16 19:34:42.148287+00:00"
"La Churreria","False","True","3","I love churros but keeping price and all factors in mind this was okay! worth trying if you want dessert in the area","2022-06-13 17:32:08.023149+00:00"
"XO Asian Cuisine","False","True","4","Decent veg options if you’re in PR. ","2022-06-20 15:46:16.448094+00:00"
"ilili Restaurant","False","True","5","Phenomenal service! It was so good and I loved the “candy bar” dessert ","2022-07-25 14:53:24.929996+00:00"
"Spice Symphony","False","True","5","Go for the lunch deal!! $11 for a 3 course meal! ","2022-05-22 04:29:52.145771+00:00"
"Emmett's On Grove","False","True","5","Crispy Olive & the hot honey pizza + jalapeños 🤌🏾🤌🏾🤌🏾🤌🏾 midwestern style pizza thin crust ","2022-06-13 17:29:35.227465+00:00"
"ConGreka","False","True","5","Incredible Vegan menu!!! ","2022-06-20 15:45:34.600502+00:00"
"Kabanas","False","True","4","Awesome place w veg options in PR","2022-06-20 15:44:08.891706+00:00"
"Adyar Ananda Bhavan","False","True","4","The address on taste isnt matching but it was p solid. I think sarvana bhavan is better but the mini idli that were fried in the sauce were superb","2022-08-17 02:07:18.941998+00:00"
"Fox in the Snow","False","True","5","Tomato Tart is my new favorite after the blueberry galette ","2022-08-25 00:10:54.672164+00:00"
"Big Gay Ice Cream","False","True","5","Very good soft serve ","2022-06-13 16:58:54.398769+00:00"
"Adel's Famous Halal Food","False","True","5","I love their green sauce and white sauce and their hot sauce. Falafel is a bit crispy/on the harder size but still a really great cheap meal in nyc ","2022-06-13 17:30:17.352333+00:00"
"Chinatown Ice Cream Factory","False","True","5","","2022-08-01 19:22:18.605170+00:00"
"Prince Street Pizza","False","True","4","Easy slice - got the Sicilian! P standard but good ","2022-06-13 17:33:04.979689+00:00"
"Great Turtle Brewery & Distillery","False","True","4","Solid Food @ Mackinack island. I loved their chickpea burger and margarita flatbread ","2022-09-06 15:54:26.805643+00:00"
"Roey's","False","True","5","I loved the rivieria salad and the zucchini and squash pizza! And lovely outdoor seating >>","2022-05-16 18:29:53.396756+00:00"
"Señor Paleta","False","True","4","Really good ice cream! ","2022-06-20 15:44:59.939406+00:00"
"Flipper’s","False","True","4","Not a bad wait and the soufflé pancakes wedw ao cool","2022-08-01 19:21:50.779940+00:00"
"Coletta","False","True","5","VEGAN Italian but you can’t even tell. The drinks were amazing, my fav was the nuts and berry because it felt like a smoothie w alch and the tiramasu was also fab esp when you’re with someone who doesnt eat eggs in dessert ","2022-05-14 13:04:32.726192+00:00"
"Mah-Ze-Dahr Bakery","False","True","5","I love their pastries. It reminds me of fox in the snow and how good those are back in Columbus ","2022-06-13 17:00:42.562986+00:00"
"Mughlai Indian Cuisine","False","True","1","The chutney tasted like the bottle kind, wasnt a fan ","2022-07-11 17:29:10.258162+00:00"
"Scarr's Pizza","False","True","5","The silcian was so light and fluffy + they got hot honey","2022-07-16 19:32:50.667476+00:00"
"Evil Twin Brewing","False","True","5","Get the Gose, tastes like Mango Juice. Best beer. ","2022-07-11 17:28:19.968204+00:00"
"Kashkaval Garden","False","True","5","$95 for 2 so split that in half and that’s your bill. It included a whole bottle of wine, massive fondue plate, a large fig salad, and a tasting plate with hummus, pita, pickles, (meat), stuffed peppers, spinakopita, and grape leaves. It was an insane amount of food for new york city, would love to go again and see if it can be split between 4 people rather than 2. AND it included dessert. ","2022-05-14 12:55:26.445124+00:00"
"Spaghetti Incident","False","True","1","Service was slow and wasn’t a fan of the kale of gorgonzola items ","2022-08-16 19:03:08.237822+00:00"
"Lombardi's","False","True","4","This place is cash only which was annoying because we didn’t know before hand but overall solid meal. ","2022-05-14 12:58:31.198174+00:00"
