"Place","Want to taste","Tasted","Rating","Review","Timestamp"
"La Colombe Coffee Roasters","False","True","5","My favorite coffee spot in Manhattan! Love their oat milk draft latte and vanilla oat milk draft latte if you want something sweeter. ","2022-05-09 21:22:56.418123+00:00"
"Dan and John's Wings","False","True","4","Ordered the 10 boneless wings with Spicy BBQ sauce and Tater Tots. 10 wings was too many, just going to order 5 next time since each wing is hefty. Will definitely come back to try the other sauces like Teriyaki, Garlic Parmesan, and Hickory BBQ.","2022-05-28 15:54:12.347700+00:00"
"Adalina","False","True","5","Amazing Italian restaurant in Chicago! Ordered the Cacio e Pepe Arancini, Campanelle and Lumache pastas, and the Lamb Chops. Finished the meal off with Tiramisu 🍰 ","2022-06-04 20:45:58.157639+00:00"
"The Halal Guys","False","True","4","Really good for quick consistent takeout and individual personal meal. Not a fancy dinner spot though. ","2022-02-18 04:41:47.058662+00:00"
"Scampi","False","True","4","Solid drinks, tried their espresso martini and Aperol spritz. Really liked their pastas (Shrimp Scampi, Campanelle, Pork Ravioli). ","2022-04-14 20:44:50.405843+00:00"
"Laser Wolf","False","True","5","Phenomenal. The Salatim appetizer platter is amazing, we paired it with the chicken and lamb/beef kebabs and french fries. Their dessert is delicious too: brown sugar soft serve with pistachios, cherries, and sesame seeds. 

Highly recommend, I would definitely go back ","2022-08-19 19:12:05.294263+00:00"
"Nami Nori","False","True","5","One of my favorite Japanese spots in the city. The Spicy Tuna with Chips is their best appetizer and then I ordered 5 phenomenal hand rolls: Tuna, Lobster, Crab, Sea Bass, and Yellowtail. Highly recommend this restaurant if you’re a sushi fan!","2022-03-28 02:00:28.308341+00:00"
"Olio e Più","False","True","5","Dare I say, best pasta I’ve had in New York? Ordered the Salmon Tartar, Spaghetti Carbonara, and Fusilli with Beef Brisket. Ended the meal with the Nutella Calzone 😋 ","2022-08-04 16:35:06.973907+00:00"
"Baar Baar","False","True","5","Best brunch in nyc if you want to party, drink, and listen to Bollywood music. ","2022-02-18 04:45:43.052671+00:00"
"Scarpetta","False","True","4","Really solid pasta and good Italian vibes","2022-02-18 04:43:23.984308+00:00"
"The Kati Roll Company","False","True","4","Simple consistent takeout location","2022-02-18 04:46:11.140970+00:00"
"RedFarm","False","True","5","Really tasty Modern Chinese dim sum! My favorites were the Pastrami Egg Rolls, Pac Man Shrimp Dumplings, Crispy Duck and Crab Dumplings, Pork and Crab Soup Dumplings, and the Crispy Skin Smoked Chicken. Would definitely come back here again 🥟","2022-04-30 19:30:35.904749+00:00"
"Ralph's Coffee","False","True","5","Really good coffee, enjoyed their oat milk draft latte ☕️ ","2022-05-09 21:20:38.177281+00:00"
"Fish Cheeks","False","True","4","Food and drinks were awesome, beware when the entree says spicy it’s actually spicy! ","2022-03-02 20:02:35.366932+00:00"
"Mala Project","False","True","5","","2022-02-27 18:02:42.753735+00:00"
"Fiaschetteria Pistoia","False","True","5","Best pasta I’ve had in the city so far! Ordered the duck ragu, truffle egg pasta, special pesto pasta, and cacio e pepe. Tiramisu was also 🔥 

Only slight complaint would be if they served cocktails so I could order an Aperol Spritz with my pasta 🍝 ","2022-05-21 01:04:07.408107+00:00"
"Rubirosa Ristorante","False","True","5","Tie Dye pizza (marinara + pesto + vodka) is a must! We also got the Bianca, which is white sauce based with ricotta and roasted garlic. Paired it with an Aperol Spritz for the perfect brunch 🍕","2022-04-02 23:03:07.310047+00:00"
"ilili Restaurant","False","True","5","Best Mediterranean food in Manhattan ","2022-02-18 04:47:52.945163+00:00"
"Electric Burrito","False","True","4","Ordered the California Burrito with Chicken. Really flavorful and filling, would go back to try their breakfast burritos sometime 🌯!","2022-04-02 23:16:29.010333+00:00"
"Bhatti Indian Grill","False","True","3","Food was average, I will say their presentation was really good. Got the Chicken Kebab, Banarsi Chaat, Chili Gobi, Malai Kofta, Palak Paneer, and Dal Makhani. Dishes were on the spicier end which I didn’t love.

🚩: This restaurant doesn’t serve cocktails","2022-05-12 03:10:59.008273+00:00"
"Gupshup","False","True","5","Really good Indian food. Try their creative cocktails!","2022-02-18 04:44:05.583990+00:00"
"Soothr Thai Noodle Bar","False","True","4","Really good food and drinks; not a lot of vegetarian options though. My favorites were the Crab Fried Rice, Fried Chicken, Chicken Noodles, and Veg Massaman Curry.","2022-03-03 04:13:06.102074+00:00"
"RAMEN-SAN - River North","False","True","4","Decent ramen spot in Chicago. Ordered the Spicy Miso ramen, Tuna Crisps, and the Chicken and Vegetable Gyoza 🍜 

Highlight of the meal again was the dessert, we got the Hot Donuts with Miso Caramel Sauce","2022-06-04 20:39:05.129030+00:00"
"Buddakan","False","True","4","Really good ambiance for group friend dinner. Highly encourage to do family style. ","2022-02-18 04:42:57.550417+00:00"
"Thai Villa","False","True","4","Upscale Thai restaurant that’s good for takeout ","2022-02-18 04:44:41.328844+00:00"
"Sushi-San","False","True","5","Favorite Japanese restaurant in Chicago! Got the Broccolini Salad, Salmon, Bluefin Tuna, and Hamachi rolls, Thai Basil Sizzling Rice. Best part of the meal, however, were the Japanese fluffy pancakes with matcha butter and black sugar 😋 ","2022-06-04 20:34:40.664646+00:00"
"Barbounia","False","True","4","Loved the cocktails here and the food was mostly good. The hummus and fish kofta were my favorites, the salmon and branzino were decent. Went with a pescatarian so options were limited, would go again to try the other non-fish dishes 🥙 ","2022-05-01 14:30:07.964437+00:00"
