"Place","Want to taste","Tasted","Rating","Review","Timestamp"
"Cafe Alyce","False","True","4","Came here on a Wednesday at around 10:30 because this place had great reviews online. It's an unexpectedly great, small brunch place with good food and cute inside decor. There's no attached parking lot but we were able to find really close street parking. The owner was there and would consistently come over to check in on us and see how we are doing which was sweet, My friend got the Bulgogi Beef Breakfast Skillet and said it was really good and filling. She got a chocolate croissant on the side which she said was not bad but a little too flaky making it harder to eat. She also enjoyed the Green Dream Smoothie and said the spinach was not too strong.

I got the breakfast burrito with mushrooms although I was in between that and the shakshuka. I don't know how to feel about grits so I didn't get the shakshuka but I would probably try that when I go back. The breakfast burrito overall was pretty yummy and I have no complaints. In general, it seems that the food is flavorful and there is a decent variety. If you have a sweet tooth during brunch, then this place is not the one for you- they have great savory options though! Also this place is definitely on the pricier end, especially given it's location in NJ. Overall though,  they do have good quality food and service.","2022-05-22 17:35:06.097008+00:00"
"Source Restaurant","False","True","4","It’s a cute brunch place in Cambridge with both an outdoor and indoor seating area. We came here on a Saturday around 1 and had made a reservation in advance. We were promptly seated indoors. The drinks looked interesting but we ended up not ordering any. I got the eggs in purgatory while my friends got the Hungover pizza, neo pizza, and French toast. Everything was great and the dough felt very airy. We also got the burrata and potatoes as appetizers. We didn’t like the potatoes that much- there was a lemony taste which we weren’t huge fans of. The burrata also tasted slightly too sweet to us and probably wouldn’t go for it again. ","2022-06-20 01:53:30.543493+00:00"
"Alimama","False","True","5","Came here with a fried by chance while passing through Chinatown, but so glad we did. It's a small little place with no indoor seating, but it is cutely decorated and they have many self ordering machines. The drinks were not only some of the most beautiful I've seen, but they also tasted great. I'm not a huge tea person but I really enjoyed the royal milk tea with mini boba. I don't know why more bubble tea places don't use mini boba because it's a much more enjoyable texture. Also the royal milk tea tasted a little like taro too me? which was honestly preferable so I liked that. The taro munchkins themselves didn't taste very strongly like taro but they were warm and who doesn't like fried dough? The onyx donut was also yummy. I've had better mochi donuts but I would come back just for the drinks because they were great!","2022-05-22 17:27:40.467787+00:00"
"Gloria's Latin Cuisine","False","True","3","Came here around 8 on a Friday night. It was pretty crowded but luckily we were able to find a table for 4 inside. I was starving so really loved the chips and dips. They give a lot more dips that most restaurants which I appreciated. They give the regular tomato salsa but also black bean dip and a spicy tomatillo sauce which I highly recommend and you should ask for if you like spice. We also ordered some queso which was nice and warm, probably one of the better quesos I've eaten. We got the spinach and cheese enchiladas, chicken mole enchiladas, and vegetable fajitas. The chicken mole enchiladas were okay, I don't love the sweetness of the sauce and didn't think the inside shredded chicken stuffing had much flavor. I did love their Spanish rice though but I always love the rice. The people I went with seemed to enjoy their meals. If I come back, I would probably try a different dish and maybe not go for the enchiladas.","2022-05-22 17:33:01.977027+00:00"
"Miracle On 9th St","False","True","4","Who else is super excited for holiday season?? I love themed bars and Miracle on 9th St did not disappoint. My friend and I came here on a Monday around 5 PM without any reservations, and we were promptly seated inside at a table. There was also plenty of room at the bar but we preferred the table. The decor inside was so adorable and I loved that they were playing Christmas music the whole time- really got us in the festive mood. They also randomly turned on disco lights at some point which gave it a cool vibe. In terms of the actual drinks, they're between $16-$18 and are your moneys worth (AKA strong). I don't know if I enjoyed the taste but I got the warm drink on the menu, the Bad Santa. It was nice because it was freezing outside but I didn't particularly love the taste. The mugs, decor, and music were cute though and I would come back just for the vibe.","2022-05-22 17:32:18.306602+00:00"
"Uptop Pizzeria","False","True","2","So to be fair, I should have known better because when does airport food not cost the price of your first born child and taste bland. But I don't know why, I had high hopes for this place. Maybe because I could see the pizzas being made and put in the mini ovens in front of me and I thought there's no way this can be messed up. It's the same idea as MOD pizza or Blaze pizza but just worse.

The pizzas are decent sized and definitely too large for 1 person. It would be perfect for either sharing or saving for leftovers. It did take ~25 minutes, but the lady warned us and it was sad seeing one person man the entire counter. She was in charge of making the pizzas, baking the pizzas, pulling out the pizzas, and dealing with the customers so major props to her. I didn't even have a problem with the wait because I was the one willing to stand there. I was excited when I got my warm spinach, artichoke pizza. I hadn't eaten all day and could feel the anticipation building, and then I took my first bite. I was disappointed. The pizza just tasted a little salty and had no other flavor. The spinach and artichokes were not evenly mixed and were concentrated in the center.

Get a cold sandwich from somewhere else or wait to get out of the airport to treat yourself to some proper NYC style pizza, but don't recommend coming here. It's too expensive, bland, and just not worth it.","2022-05-22 17:30:11.953389+00:00"
"Westville","False","True","3","Came here for brunch on a Saturday morning with a large party of 13 people total. We originally had called the Chelsea location, but they said they were unable to accommodate parties that large. It was nice that when we arrived, they gave us the entire little outdoor gazebo so all of us could fit and we had our own little private area.

Food was really a hit or miss depending on what you got. I'm not huge on sweet things for brunch because I always end up craving something savory right after, but if you have a sweet tooth, the only real option for you is the French toast. My friend got the French Toast and said it was good though! I got the breakfast burrito without the chorizo and was pretty disappointed. The tortilla was so hard and tough to cut even though they gave me a different knife. The shallots were not evenly distributed inside, and were all at one end of the burrito. It was pretty bland and I doused it was hot sauce for some flavor- did love the hot sauce though! The home style potatos were also average. Saving the best for last, the southwestern brunch bowl. My friend got this and I had a few bites and absolutely loved it. She asked for the eggs to be scrambled instead of poached, but it was very flavorful and I wish I had ordered that instead.

We got some orange juice for the table which was just Tropicana. We thought maybe it had been freshly juiced because they put a sliced orange quarter on the glass, but it seems that was more just for decoration. Service was good and they were accommodating to our large group. I don't think I'll be coming back though because the food wasn't rave worthy.","2022-05-22 17:29:11.820901+00:00"
"Hudson & Co","False","True","3","Came here on a Saturday night with some friends. It was pretty crowded when we came around 7:30. Some people were very dressed up in gowns while others were in jeans and sneakers- so there's no particular dress code you have to follow. The views were absolutely beautiful, I didn't realize this place was right on the pier. We could see the WTC and NYC skyline from our booth. This place did surprisingly also have a sports bar vibe but more classy. In terms of the food itself we split 2 pizzas: the Black Truffle Pizza and the Margherita classic. I actually liked the Margherita classic more while my friend liked the Black Truffle pizza more. I thought the Black Truffle tasted slightly sweet and was thus not as satisfying. I probably would not come back again for the food just because it was definitely overpriced. The views were nice so I might come back again just to sit at the bar but I don't think the food was exceptionally good or worth the cost.","2022-05-22 17:42:00.813048+00:00"
"Jane Restaurant & Bar","False","True","4","Came here on a Sunday morning without a reservation, so my friend and I did have to wait ~25 minutes for a seat since the place was packed. However, we were pleasantly surprised we got to sit at a table instead of the bar so we appreciated that. My friend got the Salmon Benedict and really liked it while I got the spinach and goat cheese omelette with potatos. I think the omelette was a little heavy on the goat cheese and I would have preferred if there was less, but the potatoes really hit the spot as always. Overall it was a cute place and had decent food.","2022-05-22 17:28:13.714844+00:00"
"Hangawi","False","True","5","We came here last Friday and had made reservations in advance for 1 PM. They were able to take us in a little earlier. We loved the set up of taking off our shoes and sitting on the ground. They also had other seats which were built into the ground so you could sit normally but it gave the feel that you were sitting on the ground. It can be difficult to find vegetarian/vegan options at Korean restaurants normally so it was very exciting to see they had so many options. I got the spicy rice cakes which were delicious and my friend got the spicy tofu kimchi hot pot which was really flavorful. They also gave complimentary spicy kimchi which we loved. I would definitely like to go back to try some of their other dishes and drinks!","2022-05-22 17:26:07.391077+00:00"
