"Place","Want to taste","Tasted","Rating","Review","Timestamp"
"La Pecora Bianca","False","True","4","Solid summer time vibe, pastas are Gucci ","2022-04-25 12:04:53.338005+00:00"
"Hot Pot Legend","False","True","2","How they fucked up a cuisine where I pay to cook my own food is beyond me, not worth your time ","2022-04-27 02:52:52.916558+00:00"
"John's of Bleecker Street","False","True","5","Solid  pizza, I’d personally put it in the top tier of pizza available in the city ","2022-04-18 04:06:16.045003+00:00"
"Chipotle Mexican Grill","False","True","4","Slow, but food is solid ","2022-04-27 02:49:33.360475+00:00"
"Herb & Wood","False","True","5","Had a large group order family style everything. Amazing time. Food was great, I felt like I was in a movie too. Servers were dope. 

careful though, the bill doesn’t miss 😟","2022-05-06 18:49:35.874875+00:00"
"Fresh From Hell","False","True","5","Our apartments go to Breakfast spot. When I want an Açaí bowl, this is what I think about   ","2022-04-18 18:48:32.678019+00:00"
"La Pulperia","False","True","3","They have a Drag brunch on the weekends which is wildly entertaining to say the least. Drinks were great (mimosas and tequila shots), food was ok, but they let one of drunk friends take the mic and sing Bhole Chudiyan to the restaurant during the drag brunch. He doesn’t sing, but this is the kind of fun you can have here 😂😂","2022-04-15 18:17:27.618265+00:00"
"Katz's Delicatessen","False","True","3","Sandwiches are thicccccc with meat ","2022-04-15 18:08:59.143061+00:00"
"AÑEJO","False","True","4","Did a birthday boozy brunch, I remember liking the food and the cocktails. Made my reso through Select so free guac and round of cocktails was much appreciated.","2022-04-14 19:33:17.314088+00:00"
"Happy Camper - Old Town","False","True","4","Party spot with decent pizza. Waiters were super friendly, had the Linda twice","2022-04-28 18:21:36.362159+00:00"
"Spice Symphony","False","True","3","Worth a try, nothing special","2022-04-18 13:51:16.165537+00:00"
"PIND Indian Cuisine","False","True","4","I feel it’s a bit over priced but the food is delicious ","2022-04-27 02:51:25.577541+00:00"
"Dominique Ansel Bakery","False","True","5","If this was the apple from Adam and Eve, I’m sure even god would give them a pass, because Jesus. ","2022-04-21 20:18:27.140081+00:00"
