"Place","Want to taste","Tasted","Rating","Review","Timestamp"
"The Bungalow Kitchen by Michael Mina - Tiburon","False","True","3","Finally made it here — definitely going back but need to order something different next time (salad and mushroom dish I got were meh). Vibe, interior decor, music, drinks and do upstairs all on point. Go with a group of friends to party till 2 AM or for a date night. Hope to revise to 5 ⭐️ soon. ","2022-04-18 21:06:23.216711+00:00"
"Roka Akor","False","True","5","Perfect sushi date night, great service and ambiance, surprised by the lobster maki roll, yummy! 🍣 ","2022-06-22 16:37:21.777769+00:00"
"Peacock Garden","False","True","3","Ambiance was nice, but my Greek salad was basically big chunks of vegetables in a bowl — mostly bell pepper and tomato — and some dry chicken. No leafy greens :/ not a fan of chunky salads ","2022-05-24 00:37:43.592013+00:00"
"Death by Taco","False","True","4","Got the blackened salmon and chicken tinga tacos - nice quick lunch, would come again but still searching for that life changing burrito/taco spot ","2022-06-06 02:43:17.819072+00:00"
"Sexy Fish","False","True","4","Vibes at sexy fish were on point, drink menu is amazing, service was great, got the tuna rolls and Thai fried rice — both great, apps were very nice as well (tartare, croquettes) 🐠 ","2022-05-24 00:42:59.083143+00:00"
"Kokkari Estiatorio","False","True","5","10/10 best restaurant in SF. Amazing food. Fantastic atmosphere, very lively. Great service. Excellent date night ","2022-04-16 01:34:53.634214+00:00"
"Barcha","False","True","5","Best sit down lunch in Fidi. You have to get the chicken shawarma sandwich. Only on their lunch menu, only open weekdays.","2022-04-16 01:30:43.801206+00:00"
"The Village Pub","False","True","5","Michelin star ⭐️ the chocolate entrements dessert was perfect. Had the chicken, was very nice. Excellent service. ","2022-05-07 04:22:37.074538+00:00"
"Carbone","False","True","3","Pretty overhyped, didn’t even get to see drake. Secret - get the spicy breadcrumbs with the spicy rig, was good but Im also pretty sure I made the same pasta in college. Jumbo shrimp scampi was $28 pp… with 4 minimum… scam. Lobster ravioli was good ","2022-05-21 00:12:43.031488+00:00"
"Tony's Pizza Napoletana","False","True","3","Good pizza, got it to-go but didn’t live up to all the north beach hype. Maybe we didn’t know what to order. Got a pep pizza with veg toppings. Caesar salad also lacked croutons :| ","2022-06-06 02:47:15.607362+00:00"
"Matador Room","False","True","4","Food was great though portions were a bit small, ambiance was fantastic - felt like we were in a Bond movie ","2022-05-24 00:39:46.050613+00:00"
"Jaya at The Setai","False","True","4","Solid Indian food and fried rice, live entertainment (fire dancing and acrobatics) which was cool, seating around a pond - classic date night vibe ","2022-05-24 00:53:07.569164+00:00"
"Bodega Taqueria y Tequila","False","True","4","Was so much fun with friends for happy hour; great music and was so exciting to sneak into the speakeasy 😉 satisfied with the nacho tower, feeds 6 not 4 ","2022-05-21 00:06:09.235844+00:00"
"il Pastaio","False","True","1","It was very average pasta I could have made better at home ","2022-05-16 02:47:36.041779+00:00"
"Woodhouse Fish Co.","False","True","5","Fish and chips craving satisfied 🔥🔥🔥 got the fish and chips and the battered fish tacos, both excellent ","2022-05-07 04:18:00.190362+00:00"
"Pura Vida","False","True","5","They have pura vida everywhere in MIA, we went there 3 times in our 5 day trip — love the tuna and salmon sandwiches (which I ate on a wrap instead) 😋 ","2022-05-27 01:32:20.579087+00:00"
"Gott's Roadside","False","True","5","It just hits every time. Simple cravings satisfied — Caesar salad, chicken tenders are my go to. Great burgers as well. They have a Gotts in Napa, perfect to grab lunch between wineries. ☀️ ","2022-04-21 05:28:14.972594+00:00"
"Nobu","False","True","4","I want to be the first person that reviews Nobu. Miso black cod, rock shrimp tempura, yellowtail are a must. And if you didn’t sit outside did you even go? 🌊 ","2022-04-16 01:44:10.791394+00:00"
"Joe's Stone Crab","True","False","","",""
