"Place","Want to taste","Tasted","Rating","Review","Timestamp"
"Kinara Fusion Kitchen","False","True","5","Really liked the food here. Thought it was spectacular","2022-05-29 15:39:05.320497+00:00"
"Zuni Café","False","True","4","The chicken here is absolutely fantastic. Comes on a bed of greens and toasted bread. The flourless chocolate cake is also a chocolate lovers dream. ","2022-04-13 17:41:01.023677+00:00"
"Iza Ramen","False","True","5","I like their food because I’m a huge ramen fan. Tsukemen is packed with insane amount of flavor. Almost as good as ramen I’ve had in Japan. ","2022-02-18 06:01:07.562585+00:00"
"Ben Thai Cafe","False","True","4","This place is a staple. One of my favorite Thai places in the city.","2022-02-24 01:00:28.786211+00:00"
"State Bird Provisions","False","True","5","Food is done so creatively and you can see the level of thought that went in to create these new amazing flavors. They do seasonal menus with rotating dishes. ","2022-02-18 06:05:46.615077+00:00"
"El Metate","False","True","5","I don’t know what kind of magic they put into the burrito but it’s really good","2022-03-24 20:10:52.925980+00:00"
"Tony's Pizza Napoletana","False","True","4","I’m a Chicagoan with insanely high expectations for pizza. While it’s a bit pricey they do a great job with their pizza, especially with the tomato sauce. ","2022-02-18 06:03:51.528341+00:00"
"Shandong Restaurant","False","True","4","Went here a lot in college. It has really good noodles especially the schezuan noodles. All of their noodles are hand cut as well.","2022-04-13 17:35:53.437639+00:00"
"Tartine Bakery","False","True","5","Some of the best pastries in the world bar none. You can’t go wrong here. Also their breads are fantastic.","2022-04-13 17:48:16.840739+00:00"
"Cotogna","False","True","5","Can’t go wrong with anything you order. Very well done Italian food. Brown butter ravioli and anialoti are my favorite pasta dishes. ","2022-02-18 05:41:12.431458+00:00"
"Daeho","False","True","4","Very good spicy Korean meat. Flavorful and comes off the bone. Presentation is amazing. Richest food that will put you asleep in the best way possible. ","2022-02-18 06:24:56.596948+00:00"
"Tortas Boos Voni","False","True","5","I thought it was super good. All the ingredients were fresh.","2022-03-24 20:10:10.827016+00:00"
"Rintaro","False","True","5","They take very good Japanese dishes and modernize it a little bit. Every single ingredient is fresh. Dessert is amazing. It’s mine and my girlfriend’s favorite dessert. ","2022-02-18 05:39:11.718453+00:00"
"Nob Hill Cafe","False","True","4","Very good Italian food. The chicken parm and the lasagna are dynamite.","2022-04-13 17:53:07.759335+00:00"
"Bobs Donuts","False","True","4","These are spectacular donuts. My favorites are the Cronut, buttermilk bar cause it’s crispy on the outside and soft on the inside and the crumb donut ","2022-04-13 17:47:49.212534+00:00"
"Barnzu","False","True","4","Very good Korean food with a modern twist. From their wings to jajangmyeon, everything was well done.","2022-04-13 17:54:16.724135+00:00"
"Tacorea","False","True","5","","2022-03-23 17:26:24.447329+00:00"
"Bakesale Betty","False","True","4","Really good friend chicken sandwiches. Lines get really long but worth it.","2022-04-13 17:52:34.079530+00:00"
"jū-ni","False","True","5","A little bit pricey, but the food is so delicious that I ended up ordering more of certain dishes after the omakase. ","2022-02-18 06:08:23.563179+00:00"
"Keeva Indian Kitchen","False","True","5","My new personal fav Indian restaurant in SF. Clean flavors for chicken tikka, butter chicken, Dahl makhani, goat chettinad and the naan","2022-05-29 23:23:50.675184+00:00"
"Ben Thai Cafe","False","True","4","Amazing Thai food that doesn’t westernize too much. Flavors are rich. Best pad Thai I’ve had. ","2022-02-18 06:02:44.749519+00:00"
"Boba Guys","False","True","5","This place has kinda ruined boba elsewhere for me. I feel like the mouthfeel of everything works really really well. They also do a great job of letting the tea flavours come through.","2022-04-13 17:41:55.095075+00:00"
"Kowbird","False","True","4","Their friend chicken was absolutely flames. I got the honey chicken sandwich. They also made this delicious cake that I had as well. Food is sooooo good.","2022-04-13 17:35:10.713479+00:00"
"Iza Ramen","False","True","5","","2022-03-05 00:21:53.317384+00:00"
"Tartine Manufactory","False","True","5","I’ve been fortunate to eat pastries around the world. Tartine can hold up to any pastry in the world. They pay so much attention to detail. ","2022-02-18 06:24:10.335461+00:00"
"Saint Frank Coffee","False","True","5","My favorite coffee place in San Francisco. They are doing this spring lavender latte that is fantastic. They also have pastries from craftsman and wolves.","2022-04-13 17:45:32.280578+00:00"
"Homeroom","False","True","4","The max and cheese is all spectacular. My favorite was the sriracha mac. The ginger and sriracha flavors are super good","2022-04-13 17:40:18.488705+00:00"
"Daeho Kalbijjim & Beef Soup","False","True","5","Food was amazing. It’s a rich spicy beef meal. Highly recommend getting all the toppings","2022-05-16 06:15:17.712131+00:00"
"Sightglass Coffee","False","True","5","This is the place that originally made me fall in love with good coffee. Very good flavours and notes.","2022-04-13 17:42:27.560848+00:00"
