"Place","Want to taste","Tasted","Rating","Review","Timestamp"
"Mala Project","False","True","4","Tried the pork belly and fish dry pit with house fried noodles! The dry pot was 5/5 a very flavorful meat and the fish was incredibly soft. House fried noodles was good too :) would go again! ","2022-07-10 19:43:22.693155+00:00"
"12 Chairs Cafe","False","True","5","Really good food. Always super packed so you should try to make a reservation. I haven’t been for anything other than brunch but it’s pretty flavorful. ","2022-02-22 04:24:34.005983+00:00"
"Max Brenner","False","True","4","Sugar cookie martini was WAY too sweet. ","2022-03-04 04:57:04.746165+00:00"
"JINYA Ramen Bar","False","True","4"," Got the spicy chicken ramen! Packed for a Wednesday night but solid spot ","2022-05-12 12:59:49.784454+00:00"
"Mama Tigre","False","True","5","","2022-03-04 04:57:41.728251+00:00"
"Home Frite","False","True","4","Got boneless wings with an assortment of sauces (they let me pick 5)! Good chicken but the boneless gave me more chicken nug vibes. Would still go back! ","2022-04-23 17:39:52.854436+00:00"
"The Bee & The Biscuit","False","True","5","","2022-08-06 15:52:52.885802+00:00"
"Grana","False","True","4","","2022-05-01 19:19:53.354506+00:00"
"Málà Project","False","True","5","","2022-06-08 00:08:49.745223+00:00"
"Dominique Ansel Bakery","False","True","4","Hot chocolate was really thick (maybe too thick) has a dark chocolate base ","2022-02-26 23:48:08.569704+00:00"
"Cook Out","False","True","5","tbh I'm probably biased but I only get their peanut butter chocolate milkshake and it SLAPS

Never eaten their food though 😵‍💫","2022-05-14 15:06:46.850731+00:00"
"Gong Cha Chantilly","False","True","5","crowded spot for a weekday but solid boba - lots of options! ","2022-05-31 13:03:13.562530+00:00"
"Kyuramen","False","True","5","Ordered on UberEats - very quick delivery & everything came in separate containers to mix yourself (none of that soggy noodle stuff here). Got the Tonkatsu Curry Ramen and it was 10/10! Very flavorful & definitely satisfied my ramen craving. Will go back to try more! ","2022-03-30 16:57:17.812801+00:00"
"Celebration by Rupa Vira","False","True","5","Great drinks and food options, different selection from your typical Indian food spots!","2022-03-04 04:54:22.747696+00:00"
"Adda Indian Canteen","False","True","4","Food was really good. They have unique lamb biryanis inside naan. I haven’t experienced this yet at the indian restaurants I’ve been to. The whole experience was okay in terms of ambiance. Very crowded and they were rushing us to leave. ","2022-02-22 04:32:16.100970+00:00"
"Dominique Ansel Bakery","False","True","5","soft, freshly baked cookies! Lots of different choices in pastries / coffee / drinks ","2022-02-24 18:33:35.102069+00:00"
"Tompkins Square Bagels","False","True","4","really good bagel! ","2022-02-26 23:47:21.716053+00:00"
"Grace Street","False","True","4","Ordered the strawberry / lychee shaved snow! Very large bowl and meant to be a shared dessert. Apparently they have bomb cheesecake - will have to go back to try again ","2022-07-16 17:12:58.180438+00:00"
"Tsurutontan Udon Noodle Brasserie","False","True","5","Great portion sizes. flavorful noodles with tons of options - noodles happy hour Monday - Wednesday all day!! Would def go back again ","2022-07-14 02:44:45.393352+00:00"
"TimeOut Market","False","True","5","Smaller than the other TimeOut Markets that I've been to but definitely hit the spot - we ordered Mexican pancakes, Dan Dan noodles and a biscoff crepe 🤤🤤 would go again! ","2022-06-22 13:11:43.009394+00:00"
"The Tyger","False","True","5","Overall really good. Ambiance and service was great. Food was creative. They said they were small plates, but I thought they were good portion sizes. A bit on the pricier side. ","2022-02-22 04:28:58.296187+00:00"
"Repeal Bourbon and burgers","False","True","4","","2022-08-06 14:29:50.273548+00:00"
"Qahwah House","False","True","5","Got Khaliat Alnahl and a Yemeni Latte (iced)! Great vibes and a perfect place to hang out and catch up with friends ","2022-07-31 22:49:32.996777+00:00"
"Tara Kitchen","False","True","5","I have been to Tara's kitchen 2x in my life but I will drive back up to Troy any day for their Moroccan mint tea and dinner plates served in cute little tajins 🧿","2022-05-17 13:53:48.407315+00:00"
"KIKI","False","True","3","Definitely think people go for the vibes - food was okay, don't think it was worth the extra $$$ for vibes and sub par food ","2022-06-20 16:15:28.554872+00:00"
"Baazi","False","True","5","Got the butternut squash kofta, garlic naan, & mezcal passion! Kofta was very creamy and soft. Overall good vibes, service, and food! Would definitely return 😋","2022-07-18 01:55:40.165998+00:00"
"Thai Tyme","False","True","4","Did carry out! Papaya salad, drunken noodles and red curry - was pretty solid for take out. Noticed I had picked vegetarian options and called to ensure I was okay with fish oil, they definitely ensure they take all dietary restrictions into account even with take out. Would definitely go dine in next time. ","2022-05-09 02:35:26.378043+00:00"
"Have & Meyer","False","True","4","hole in the wall italian restaurant &  wine bar, ordered the gnocchi with white truffle and cheddar and trenette with pesto sauce and cherry tomatoes. Was SO good (but we were also starving). They have a very large selection of wines, perfect little dinner spot! ","2022-07-14 01:47:17.148303+00:00"
"The Taco Stand","False","True","5","Hole in the wall taco joint in Wynwood - lengthy line but food came out pretty quickly! Would go again ","2022-06-20 16:17:26.278426+00:00"
"The Halal Guys","False","True","3","","2022-02-25 16:12:18.512920+00:00"
"Gumption Coffee","False","True","4","Got an iced chai latte! Small location l, did the job but wasn't anything life changing ","2022-08-10 13:30:05.510108+00:00"
"a’Bouzy","False","True","4","French restaurant - no brunch menu other than the weekend! Good ambiance and staff! ","2022-04-21 17:07:37.625483+00:00"
"Gazab","False","True","5","Great ambiance, good food, and quick service. Very crowded / small space so definitely reserve in advance for a larger group ","2022-03-06 01:26:31.207689+00:00"
"Doughnut Vault","False","True","5","Open from 8-1 and after noon all leftover donuts are 50% off!! So goood - lots of flavors and not overly sweet. Highly recommend! ","2022-06-24 18:09:00.872398+00:00"
"Velvet Taco","False","True","5","Ranch water drink (tequila in topo chico) + cauliflower taco + spicy tikka chicken 

REALLY good tacos! ","2022-04-21 17:10:10.357420+00:00"
"Tava Fry","False","True","4","Paneer Kati roll","2022-04-09 22:59:03.376614+00:00"
"Chennai Express","False","True","4","small restaurant but their dosa / samosas / South Indian Tea snacks always slap! Perfect for the afternoon pick me up - recommend take out for sure. ","2022-05-31 13:00:38.479892+00:00"
"Zaytinya","False","True","4"," ","2022-05-30 15:45:39.803338+00:00"
"Friend of a Farmer","False","True","5","Farm to table concept and some of the BEST brunch food I've ever hard. lines are super long on weekends - so try to make a reservation before going! 

Been here two times already and wouldn't hesitate to go again. ","2022-05-27 02:43:39.486505+00:00"
"Xixa","False","True","5","","2022-02-24 18:30:25.438006+00:00"
"Dig Inn","False","True","5","very clean / healthy! lots of bowl options & sides. Seems like this is more of a take out or delivery place. Went in to grab dinner and they were pretty overwhelmed. 

Would definitely go back again","2022-03-24 16:18:02.342782+00:00"
"Jajaja","False","True","4","Thought the burrito was a tad overhyped and bland","2022-02-24 18:34:16.238332+00:00"
"Good Chef","False","True","4","Ordered the scallion pancakes and Dan Dan noodles! cute hole in the wall restaurant inside an Asian super market - very unique set up. Super packed for a Wednesday night but the service was very quick and seamless. Dan Dan noodles were very flavorful - portion sizes were pretty big, took a decent amount of left overs home","2022-06-30 02:16:24.496377+00:00"
"Amorino Gelato","False","True","5","amazing gelato, great music selection! ","2022-07-29 21:06:20.691992+00:00"
"AÑEJO","False","True","4","Memorable place. For bottomless there was never an empty glass so service was great. They also gave bottomless coconut pancakes and potatoes which were so good. ","2022-02-22 04:27:37.306035+00:00"
"Village Taverna Greek Grill","False","True","4","Very solid Greek food option, minimal chicken entree choices. May not be very vegetarian friendly! Good portion sizes and large wine selection ","2022-07-29 21:05:45.766147+00:00"
"Nathan's Dairy Bar","False","True","5","My go to ice cream spot - been coming here for 15+ years, always the best ","2022-05-16 14:31:32.482369+00:00"
"The Mean Fiddler","False","True","4","Great food! Turns into club / party vibes later at night ","2022-02-28 17:02:19.887856+00:00"
"First Watch","False","True","4","Pretty crowded for a Thursday morning! Pretty solid food, good selection and fresh. We ordered two different kinds of French toast and @parth and I both ordered the skillet hash - potatoes were very flavorful. Ordered the Pineapple Express and it was a very refreshing drink! Priyanka got something with beet and turmeric which she really enjoyed but I was not a fan lmao 

Would return for a quick bite to eat especially since local! ","2022-05-26 16:31:36.110093+00:00"
"RAMEN-SAN - River North","False","True","5","my favorite ramen spot in Chicago! ","2022-05-31 14:10:02.935975+00:00"
"Au Za’atar","False","True","4","One of the better Lebanese restaurants. Service was okay, but maybe it’s because we were seated outside. Shawarma was not dry which was good. ","2022-02-22 04:25:38.130929+00:00"
"Toast","False","True","5","Ginger beer is SO good. Toast is locally made & fresh every morning. Big portion sizes - good food","2022-03-21 15:18:45.347000+00:00"
"Duke's Grocery","False","True","4","90 minute bottomless! American brunch place, good service / decent brunch selection. Ordered the truffle Mac & cheese - was pretty rich with the truffle oil but still good","2022-04-09 23:00:01.865422+00:00"
"Tacombi - Fort Greene","False","True","3","was alright, chicken was kind of dry and tacos weren't very filling. 
service wasn't too great","2022-03-22 03:50:41.324810+00:00"
"Gypsy Kitchen DC","False","True","3","","2022-05-08 22:55:34.295498+00:00"
"B'klyn Burro","False","True","4","filling burrito - honestly was just okay, have had better","2022-03-15 01:48:56.941412+00:00"
