"Place","Want to taste","Tasted","Rating","Review","Timestamp"
"Last Rites","False","True","5","Really cool tropical cocktails, including a handful that light on fire. The decor is so fun & immersive. Recommend the Bahama Trauma (there’s a limit of 2 per person but wasn’t that strong 🧐) ","2022-05-16 03:25:20.826197+00:00"
"Che Fico","False","True","4","Came here with @sakthi - loved the fried risotto & pineapple pizza with the chili sauce on the side! ","2022-08-15 04:31:21.666325+00:00"
"Dancing Yak Nepali Cuisine & Bar","False","True","4","Loved the paneer tikka - it was pretty unique from other paneer dishes I’ve had!! Vegetarian momos are okay but I go back for the paneer & cocktails - be careful because their definition of spicy is actually super spicy ","2022-05-07 01:44:47.392891+00:00"
"The Patio","False","True","4","Cute spot with fire pits outside - the aviation cocktail was probably my favorite gin cocktail in the city so far! recommend the happy hour appetizers (especially the mac & cheese) & spring pasta, but not the cheeseboard (slightly underwhelming)","2022-05-07 01:36:40.519408+00:00"
"Milan Sweet Center","False","True","4","Got the dahi puri, paneer sizzler, kebab sizzler, and Manchurian sizzler. Almost gave this a 3 but I remember this spot being soo good a couple of years ago in person so I felt guilty ","2022-07-16 07:50:38.921553+00:00"
"Kenshō","False","True","3","vegan sushi in SoCal! Jalapeño popper & squash blossoms were not bad, but wasn’t fan of the other two rolls we got. prefer Shizen, wouldn’t go out of my way to go back ","2022-08-28 23:48:19.546025+00:00"
"Kantine","False","True","3","Really wanted to give this place a 4 and I think it has potential if I order something different so I would go again! I enjoyed the lavender latte, but my brunch dish could have used more spice / flavor and less salt. Divya got the “board” which you can customize with 5-7 items (ie veggies, dips, cheese, bread, etc) which looked really good! ","2022-08-06 01:30:29.999660+00:00"
"Dumpling Home","False","True","4","Loved the noodles, and the mushrooms / green beans were pretty good. Veg dumplings & bao are a bit flavorless (din tai fung is 10x better!) but I’d still come again for the overall experience ","2022-07-24 18:15:16.918189+00:00"
"Nopalito","False","True","3","Rated this a 4 before but wanted to update to a 3 😭","2022-07-23 17:30:00.969053+00:00"
"San Francisco Wine and Cheese","False","True","5","Cute really small patio at the back of a wine & cheese shop, free bread with the wine & cheese pairings,  super sweet owners who brought us free lemon bars & cake ","2022-05-21 16:48:35.361863+00:00"
"Nopalito","False","True","4","Would come here again for the vibes & fun environment - great place for happy hour and ordering a bunch of small plates to share. Recommend the salsa con roja chips & potato tacos, but have had better margs and entrees at other Mexican spots in the city ","2022-05-08 05:51:48.256211+00:00"
"Greens Restaurant","False","True","4","cute vegetarian spot near off the grid! liked the first courses, main courses were just okay - my friends who aren’t vegetarian really enjoyed it ","2022-07-09 04:55:14.545431+00:00"
"Jeni's Splendid Ice Creams","False","True","4","@anoop reminded me of this place!! I’ve tried it a few times - brambleberry is my favorite but so far have liked Salt & Straw better 👀 ","2022-06-22 02:15:17.072294+00:00"
"Trick Dog","False","True","4","","2022-05-21 16:49:03.370635+00:00"
"Willa’s","False","True","5","Love the strawberry spritzes, tomatillo shakshuka, french omelette, & buratta. Vivi loved the brioche & Mac and cheese! ","2022-05-28 18:43:20.496497+00:00"
"Nopa","False","True","4","Wasn’t sure what to expect after seeing @sakthi’s review but I actually liked this spot! They may have a rotating menu - liked the fries & small plates to share. also liked the experience (they had a very involved wine director coming around helping with selection)","2022-07-27 18:30:17.774371+00:00"
"Key Klub","False","True","4","New natural wine spot in Nob Hill run by the same owners at bodega! casual atmosphere, fun menu descriptions, and tons of options that apparently can’t be found in other sf bars. The grilled cheese was amazing, didn’t love the fries ","2022-05-19 17:16:47.489874+00:00"
"Velvet Taco","False","True","5","@sakthi reminded me of this place - eating a 5 for the paneer taco!! ","2022-08-15 04:24:48.774722+00:00"
"ROOH","False","True","3","Loved the ambience & cocktails/apps are definitely worth trying once, but thought the entrees were underwhelming for the price. Would recommend Ettan in Palo Alto over Rooh! ","2022-05-07 01:41:51.632015+00:00"
"Death by Taco","False","True","3","Casual spot, we grabbed some food and margs here quickly once because it was near caltrain and another time after a Giants game. Just okay, wouldn’t seek it out - would only come again because of the convenience!","2022-07-23 17:35:00.005061+00:00"
"Troya","False","True","5","I’ve been here three times and it’s always a good time! Love splitting the vegetarian feast or getting a bunch of small plates to share with wine ","2022-05-14 22:19:19.915226+00:00"
"Little Delhi","False","True","5","Have never been in person but always hits the spot whenever I’m craving malai kofta and want to quickly ubereats something! Also like their chaat & aloo paratha ","2022-05-13 03:01:53.497435+00:00"
"KAIYŌ","False","True","4","I loved the pisco drinks! Came for drinks / bites instead of dinner (which I would recommend for vegetarians)! Ambiance is nice because of the rooftop, but overall I think LA / other big cities have much nicer rooftops ","2022-07-23 17:29:13.244030+00:00"
"Breakfast Republic","False","True","3","The omelet / potatoes were super underwhelming 😭","2022-08-15 04:26:11.901061+00:00"
"1428 Haight Patio Cafe and Crepery","True","False","","",""
"Banana Leaf","True","False","","",""
"Flour + Water","True","False","","",""
"Flour + Water Pizzeria","True","False","","",""
"Penny Roma","True","False","","",""
"Kinara Fusion Kitchen","True","False","","",""
"Pijja Palace","True","False","","",""
"The Boy & The Bear","True","False","","",""
"Che Fico Alimentari","True","False","","",""
"Long Bridge Pizza Co.","True","False","","",""
"Rose's Cafe","True","False","","",""
"Arlequin Wine Merchant","True","False","","",""
"Kate's Kitchen","True","False","","",""
"Cafe du Soleil","True","False","","",""
"Garden Creamery","True","False","","",""
