"Place","Want to taste","Tasted","Rating","Review","Timestamp"
"Brooklyn Dumpling Shop","False","True","3","food was pretty ok. the ordering system was weird and unintuitive. expensive for late night drunk food","2022-03-15 01:31:26.059852+00:00"
"Cafe Mogador","False","True","5","really great brunch spot. the turkish coffee is some of the favorite i’ve ever had","2022-03-15 02:00:46.245987+00:00"
"7th Street Burger","False","True","4","this place is basically In N Out but 3x the price. they also have animal fries. felt ripped off but it definitely satisfied my In N Out cravings ","2022-05-04 01:13:09.995020+00:00"
"Proong Noodle Bar","False","True","4","another solid ramen place that’s moderately priced and tasty","2022-03-15 01:50:34.687536+00:00"
"Gupshup","False","True","4","pretty good indian food, the pav bhaji and chai martini were my favorites 
also onion cheese kulcha ","2022-03-15 01:38:38.498818+00:00"
"Douska","False","True","4","6 hand rolls, which were all really good and fresh fish. rolls were a bit small and was still hungry after ","2022-03-15 02:18:33.629163+00:00"
"Brenda's Meat & Three","False","True","5","my SF comfort food, i miss you Brenda

Brenda’s fried chicken with the Biscuit, Mac n Cheese, Sweet Potato Fries
Beignet Flight, Grandma’s Molasses Iced Coffee are must haves","2022-05-24 01:43:50.552815+00:00"
"Tompkins Square Bagels","False","True","5","great bagels, always long lines","2022-03-15 01:56:06.546489+00:00"
"Lombardi's","False","True","4","the original. pretty classic new york pizza ","2022-03-15 01:41:13.186051+00:00"
"Mughlai Indian Cuisine","False","True","4","pretty good north indian food. they have a good takeout combo with appetizer entree naan and rice","2022-03-15 01:43:02.556331+00:00"
"886","False","True","4","honey glazed popcorn chicken, taiwanese fried rice, lo ba beng (pork belly fried rice), beef noodle soup (oxtail)

overall really solid food, all non veg for the most part. great spot for family style food with drinks. 

they have a crazy drinking challenge i want to try out, something like if you can chug this punchbowl fast enough, we’ll give you all free shots","2022-04-28 05:09:16.059571+00:00"
"Electric Burrito","False","True","4","really solid burrito that was moderately priced","2022-03-15 01:34:16.279916+00:00"
"Baar Baar","False","True","4","food was decent but over priced. we drank a lot of mimosas, the flavors were good. fun vibes after","2022-03-15 01:51:24.213587+00:00"
"Raku","False","True","5","the udon was amazing.","2022-03-15 01:57:47.025058+00:00"
"Mercato","False","True","4","seafood linguini was super good. nice italian place with good classy ambiance","2022-03-15 01:49:30.642513+00:00"
"Hibachi Express","False","True","4","pork dumplings are way better than veggie dumplings. scallion pancakes were pretty good. overall, decent spot for cheap takeout","2022-04-28 04:50:19.690783+00:00"
"Lil Frankie's","False","True","4","baby meatballs were on point. good portion sizes","2022-03-15 01:44:15.718536+00:00"
"Taqueria St. Marks Place","False","True","4","los angeles themed mexican restaurant, pretty cheap and authentic food","2022-03-15 01:34:52.239238+00:00"
"Artichoke Basille's Pizza","False","True","5","the classic. nostalgic drunk berkeley pizza","2022-03-15 01:47:29.609277+00:00"
"5ive Spice","False","True","4","pho was really good. their was raw beef which was an interesting flavor. we went here right before the Nets game","2022-03-15 01:54:53.513589+00:00"
"Tico dc","False","True","4","we came here for bottomless for brunch, again food and drinks, very reasonable price

the food here was honestly pretty mediocre, besides a couple dishes. the breakfast tacos were actually disgusting.

i’m giving it 4 stars cause they gave us 4 extra pitchers of champagne after we paid the bill ","2022-05-19 15:19:42.138375+00:00"
"The Meatball Shop","False","True","4","great meatballs, classic meatball sandwich that hits the spot ","2022-03-15 02:21:00.051877+00:00"
"Barn Joo","False","True","5","great food and great vibes, also korean pancakes were fire. ","2022-03-15 02:03:00.218868+00:00"
"Veselka","False","True","4","Pierogis and Ukrainian Meatballs

overall solid and authentic Ukrainian food with generous portions. took about 20-30 mins to get a table, good vibes inside","2022-05-19 15:26:20.289740+00:00"
"Empanada Mama","False","True","5","open 24 hours. they have a ton of flavors. i’ve only gone here for late night drunk food","2022-03-15 02:22:19.091729+00:00"
