"Place","Want to taste","Tasted","Rating","Review","Timestamp"
"Beretta","False","True","4","Dinner is better than brunch, the prosciutto sandwich is a pass but the pizzas are all good, well cooked. ","2022-05-23 01:23:44.534418+00:00"
"Peeps Kitchen","False","True","5","one of the best friend chicken sandwiches i’ve ever had. their homemade sweet and sour sauce was incredible. nice mom and pop shop. ","2022-06-25 23:21:40.520457+00:00"
"Fish Cheeks","False","True","5","The wings were incredible and the oysters had this delicious spicy chimichurri/chutney that had amazing depth of flavor. Cocktails were alright but it’s well worth it during happy hour. ","2022-06-24 03:34:56.399015+00:00"
"Papalote","False","True","3","So overrated, the carne asada was flavorful but it’s way overpriced and the burrito is tiny, you also need to pay extra for basics in a burrito. El Rancho Grande is a lot better and cheaper and is close by, much better option. ","2022-05-23 01:22:44.903173+00:00"
"Simply Nova","False","True","4","Bagels were nothing special but the smoked fish was delicious and the scallion cream cheese also great. The egg, salmon, and pastrami bagel was 8/10, will be back for a hungover breakfast. ","2022-06-22 23:03:11.235491+00:00"
"Oyo","False","True","3","Chicken was a little dry, generous portions but nothing to rave about. Nice outdoor seating, decent lunch spot in downtown pleasanton but there are better spots around. ","2022-05-16 15:26:39.329192+00:00"
"Sake Bar Satsko","False","True","5","Great sake, great ambiance, great bartenders all in a no-frills non-pretentious environment ","2022-06-24 03:36:27.563297+00:00"
"Rose Wolf Coffee","False","True","4","The iced coffee is named “The Best Iced Coffee” and I’d give it a 7/10, pretty solid ","2022-06-22 23:04:49.981494+00:00"
"L'industrie Pizzeria","False","True","5","Best slice I’ve had in brooklyn 9/10","2022-06-25 23:22:13.475924+00:00"
"Sultan's Kebab","False","True","5","Best lamb shawarma in Pleasanton, has been for 10+ years","2022-05-19 14:58:49.266398+00:00"
