"Place","Want to taste","Tasted","Rating","Review","Timestamp"
"Angolino Pizza","False","True","4","This place is a small pizza joint that’s open till almost 3am on the weekends and located next to a couple of bars…it’s late night, drunk food. That being said, it really hit the spot. I might’ve been a bit biased, but everything about the pizza was really good except the sauce. It was really sweet…reminded me of the sauce on a Chuck E Cheese pizza. Also it’s really expensive—the slice of cheese pizza was about $5","2022-08-15 11:58:26.152557+00:00"
"Au Za’atar","False","True","3","I wish I had taken a picture of the Spicy Hummus appetizer because that was easily the best part of the meal. The appetizer was a plate of hummus which I enjoyed, some garlic aioli (which was also good), some pickled vegetables, and pita bread. I wasn’t expecting much out of the pickled vegetables, but the pickled radish was really good. It had a great balance of acidity and flavor. The pita bread was nice because it was made fresh, and it was free so it just kept coming. If all I had was the appetizer, I would’ve given this place 5 stars.

For the entree, I ordered the Chicken Kafta Kebab. The fries were seasoned nicely, but the kebab was the issue. It wasn’t bad, but it lacked in flavor a bit and was a little dry. I think the most disappointing thing, though, was that today happened to be the day that they didn’t have the mini tabletop shawarma where you get to cut the meat yourself.","2022-06-24 22:09:29.705415+00:00"
"El Vez","False","True","5","If you’ve been led astray by the dry, bland meat strings that Chipotle passes off as Carnitas, try the Carnitas Tacos here and prepare to have your mind blown. The meat has in these tacos have such a strong porky flavor and the blobs of rendered fat are meaty and delicious. I’m really not much of a tacos guy (I prefer a good burrito) but I’d take the Carnitas Tacos here any day. Fair warning, it’s a bit oily. ","2022-05-16 02:06:20.187738+00:00"
"Rowdy Rooster","False","True","4","Despite the fact that spice level 4 (on a scale of 1-5) completely kicked my ass while eating the food and  for the rest of the day, I still enjoyed the sandwich. I got the Big Rowdy. It’s a good chicken sandwich and the meat isn’t over cooked or dry. It’s topped with a mint chutney, yogurt (apparently…I don’t remember any of that), and onions. I’m giving this place 4 stars, but you could totally make a case for 3. If you think about it, it’s not that special. The toppings are pretty simple and the spice doesn’t come from some unique spicy sauce. As you increase the spice level they just add more and more of some spicy masala powder. ","2022-08-31 19:59:54.421885+00:00"
"Delhi 6","False","True","4","It’s a solid Indian restaurant. I had the kadai paneer and the paneer makhani. The kadai paneer was very flavorful, but I thought the paneer makhani was a bit flat and one dimensional. I might be nitpicking because overall it’s solid, no huge complaints","2022-05-10 13:10:23.133428+00:00"
"Baazi","False","True","5","If you see 10 different reviews of this place pop up on your feed, feel free to skip this one. We all ate the same things, and I didn’t even take pictures.

The Kasoori Methi Chicken Tikka (appetizer) was fantastic. It was very flavorful and it was really tender. It also had that smoky flavor you get from grilling meat. The presentation was also really cool (they light the whole thing on fire). I wish they could just increase the portion size and make this an entree.

The Paneer Sirka Pyaaz (entree) was good. I’d say the flavor is pretty similar to Kadai Paneer. I have no complaints about this dish. I definitely want to call out the pickled onions in this dish. They were delicious—great flavor and great amount of acidity. I never thought an Indian restaurant would go out of their way to make the onions in a dish taste good.

Overall I could make a case for 4 stars—the entree didn’t live up to the appetizer, the portions are relatively small, the prices are relatively high—but I really enjoyed the food and had a good time, so I’m rounding up to 5.","2022-07-18 01:39:19.917119+00:00"
"sweet","False","True","4","They almost exclusively sell cupcakes here. There’s a bunch of different flavors but my favorite is “Black Bottom” which is half chocolate cake, half cheesecake. I got one of those and one “Chocolate” (chocolate cake with chocolate buttercream frosting). I’m not a huge fan of buttercream, but let’s be honest—it’s a cupcake, it’s going to taste good. I do enjoy picking up cupcakes from this place, but I won’t give it 5 stars because I’ve had better specialty cupcakes elsewhere.","2022-07-29 03:40:14.540644+00:00"
"Ramen Nagomi","False","True","4","Man this is tough. I went here with a few other people, and if I go off what they felt about their ramen and even some of the components of my ramen, I’d rate this place as 5 stars. Honestly though, I just didn’t see the hype. 

Tonkotsu ramen is my go-to at most ramen places but I decided to try the Tori Paitan ramen—a chicken broth based ramen. It had good chicken flavor, but I just wasn’t blown away. The rest of the ramen was good though, and I appreciate that they went light on the toppings. The pork chashu was cooked well and even had some char. The egg was interesting. I liked the flavor of the yolk—it had this almost sweetness to it. Also the yolk isn’t runny, it’s custard-like. The noodles were good too and had a nice chew (although I think I’ve had better). 

I just can’t get over the broth being underwhelming. Maybe I should’ve had their Tonkotsu ramen and maybe this place is worth 5 stars, but I just can’t say that with any certainty.","2022-05-29 14:14:27.077578+00:00"
"Adel's Famous Halal Food","False","True","4","I am cursed. Every time I go to this food cart I wait in line for what feels like hours. It’s a mind-numbing test of patience that wears me down. Don’t come here after midnight unless you want to be trapped in this actual real life genjutsu. The line moves so slow it’s unbearable. They need to get a second cart. 

Alright rant over. The food here is really good. I got chicken over rice this time but I like the falafel over rice better. The white sauce on top tastes good and the red sauce has some kick to it which I liked. If you get the chicken over rice they give you so much meat (I’d honestly prefer a bit less meat and more rice). Overall I’d probably give this place 5 stars since it’s such a good solid halal food cart, but a little part of me dies every time I wait in that line.","2022-07-16 18:14:17.898579+00:00"
"Jollibee","False","True","3","I finally tried Jollibee, the Filipino fast food chain. I had heard good things, so maybe my expectations were too high (which is why I’m torn between 3 and 4 stars). I got the Spicy Chicken Sandwich and a side of fries. The fries are similar to McDonalds or Wendy’s fries. The chicken sandwich was fine. They put a lot of that orange sauce which I appreciate and instead of pickles, they put jalapeño slices which I really liked. The chicken itself was really dense and heavy for some reason. It certainly wasn’t bad and I have no regrets, but I’d still take Chick Fil A or Popeyes over this.","2022-07-29 20:57:04.870035+00:00"
"Otto Strada","False","True","4","The Espresso Short Rib Ravioli was pretty good, but adding a bit of espresso powder on top is a weird addition. The sauce was a butter/Parmesan sauce so it’s thinner than the cheesier sauces that I’m used to (and prefer). Thankfully it wasn’t just 3 or 4 pieces of ravioli. The Rigatoni Alla Vodka was better. The sauce was creamy and it did taste like vodka sauce except the tomato flavor was more pronounced than I expected. I really liked that the pasta itself was cooked al dente (extra points in my book). I wouldn’t recommend the Tiramisu here. It’s not bad, but there’s a strong almond flavor throughout the cake. This was my second time coming here. I really like the food here, but it’s just not good enough to give it 5 stars, especially since it’s expensive (every pasta dish is $20-30).","2022-07-31 20:26:55.933737+00:00"
