"Place","Want to taste","Tasted","Rating","Review","Timestamp"
"Beit Rima","False","True","4","Best middle eastern food I’ve had in the city","2022-02-17 14:52:18.446946+00:00"
"a Mano","False","True","3","Too expensive for what you get","2022-02-17 14:51:36.838289+00:00"
"La Taqueria","False","True","5","Best burrito in the city","2022-02-17 14:47:07.358964+00:00"
"Mona Lisa","False","True","5","Best bang for your buck","2022-02-17 14:50:04.159451+00:00"
"Mixt","False","True","3","Best salad I’ve had and it’s healthy","2022-02-17 14:49:33.414660+00:00"
"Ippudo","False","True","4","I have a good time whenever I go here","2022-02-17 14:48:47.523352+00:00"
"Flour + Water","False","True","5","Too good, orgasm in your mouth","2022-02-17 14:50:37.792703+00:00"
"The Yasai","False","True","5","Unbelievable delicious Vegan sushi AND ramen
Highly recommend gyoza and triple tomato ramen
#bringTasteToSanDiego","2022-04-24 02:16:45.493590+00:00"
"BAIA","False","True","5","Really good vegan food. Everything is very tasty so you can’t go wrong.","2022-02-17 14:45:26.956204+00:00"
"Saucy Asian","False","True","4","Really tasty, unique, fusion. Seems similar to señor sigsig. ","2022-02-17 14:47:55.979433+00:00"
"Abhiruchi Grill","True","False","","",""
