"Place","Want to taste","Tasted","Rating","Review","Timestamp"
"L&L Hawaiian Barbecue","False","True","3","You always get what you expect. Great after a night out. 🍹 ","2022-09-04 08:12:25.956666+00:00"
"Hazie's","False","True","4","This went from 3 to 4 because I can’t stop thinking about their burger - it’s topped with Brie and wrapped in a brioche bun, really melts in your mouth. The rest of the food and the drinks were also good but nothing special. ","2022-08-27 01:04:57.631737+00:00"
"Norcina","False","True","5","Got a seat at the bar overlooking freshly made pizza going into the wood fire oven- 10/10 views.
Fresh ingredients on their pizza and pasta. My only regret is that I didn’t get to try a pork/ boar dish which is the chefs specialty, and the reason for the name ‘Norcina’.","2022-04-04 17:55:31.879696+00:00"
"Fournée Bakery","False","True","5","Oh so good. Ham and cheese croissant was excellent, all their sweet pastries were perfect. There was a bit of a line, thankfully we got there early.","2022-04-11 19:24:01.217823+00:00"
"Nari","False","True","5","The food was excellent, every single dish was vibrant and creative. I seriously can’t stop thinking about the pandan parfait that we had for dessert… Thanks to @Rohan for making the reservation :) I’ll also be going back to try the $100 chefs tasting.","2022-04-04 18:00:23.183707+00:00"
"Dominique Ansel Bakery","False","True","5","Agreed with @Gita, the time of day matters. Everything I’ve tried has been great and worth the hype (cronut, s’mores, eclair, cookie shot, Madeline, milk bread). The only thing that usually prevents me from going there is the line. ","2022-04-29 15:28:16.825237+00:00"
"PURE Thai Cookhouse","False","True","5","Go to place for their dry noodles and pad kra prow (basil work stir fry), a neighborhood favorite!","2022-04-04 20:25:43.367878+00:00"
"The Lavaux Wine Bar","False","True","5","The Swiss fondue is SO good, also loved their salad and foie gras. The wine pairings also hit the spot. Only regret is that I didn’t save enough room for their chocolate mousse! Service was excellent.

This is a great date night spot, the ambiance is candlelit, romantic and they have cozy gondolas for two.","2022-05-03 21:39:39.634660+00:00"
"TK Noodle House Kona","False","True","3","Didn’t end up ordering our top choice (Oxtail udon) bc they were out of stock… the Singaporean udon was promising but nothing special.","2022-09-04 08:17:09.133542+00:00"
"Soupchu","False","True","5","Yum lunch (see Sumac review)","2022-06-20 21:45:42.111889+00:00"
"La Ciccia","False","True","5","Sardinian / southern Italian food in a cozy restaurant, a bit of a hidden gem. The crowd is usually ppl over 40. They have an extensive wine list and pasta is some of the best in SF (not stuff that you can easily make at home).","2022-04-04 20:43:50.967684+00:00"
"Hot Sauce And Panko To Go","False","True","4","Solid wings, lots of great flavors to choose from. The “soggy (in a good way) waffle” was a gamble- I can vouch that the name is accurate. ","2022-07-07 04:29:23.532393+00:00"
"Good Good Culture Club","False","True","4","Slightly above a 4.
Creative food, vibrant atmosphere, friendly staff. Even though it’s a tapas style menu, each item was substantial, four dishes was plenty of food for two people. 

Standout dishes for me were the beef carpaccio and the ribs. Shrimp was pretty good. Mango mocktail was tasty and refreshing. I didn’t feel strongly about the rice ball dish and probably wouldn’t order it again. Pleasant surprise!","2022-07-07 03:10:51.518053+00:00"
