"Place","Want to taste","Tasted","Rating","Review","Timestamp"
"Mag St. Cafe","False","True","4","Great place to eat non Indian food in Mumbai. The mushroom gyoza and onion rings were great!","2022-02-11 10:48:36.838510+00:00"
"Amber India","False","True","4","Breakfast buffet is awesome. Classy vibe always a good time. Ask for mango mimosas. Dinner isn’t worth imo ","2022-02-17 12:11:59.797471+00:00"
"Ambar","False","True","5","One of my fav restaurants in DC. I’ve had brunch, lunch, and dinner here. All are great but personally favor dinner. You can get bottomless drink and food here for 90 min. Food is made to order so it’s fresh and tasty. Ambiance is great! Needs to be on your DC food list 😋","2022-05-19 14:57:19.237205+00:00"
"Planta","False","True","4","Gita took me here for dinner after I quit FB. I thought the good stuff about this place was the gyoza/dumplings and ambiance. I personally didn’t like the rolls cause they weren’t as flavorful as I expected. I probably was comparing to shizen so had too high of standards. Dan Dan noodles were alright.","2022-04-28 14:11:29.317224+00:00"
"El Burrito Mexicano","False","True","5","Breakfast burrito was bomb (subbed out meat for beans, maybe should have asked for a little bit less jalapeño). Veggie torta was excellent. Authentic ingredients (bread and tortilla was amazing), family owners were so nice ❤️","2022-10-09 20:33:01.210901+00:00"
"Citizens Of Gramercy","False","True","3","We had the smashed avo, banana bread French toast, and muesli. Was alright and did the job but wouldn’t come back again. Idk where Srikanth got this rec 😐","2022-04-23 21:00:19.444489+00:00"
"Au Za'atar","False","True","4","Pretty good but downgrading from 5 star to 4 star. The falafel pizza lost its charm the second time around. But the appetizer plate was bomb. Went for @umang birthday dinner and had a great time overall though 🎉","2022-09-19 16:09:16.480979+00:00"
"Bread Story","False","True","4","Good reliable place for morning coffee and pastries","2022-02-17 14:16:06.212162+00:00"
"Condado Tacos","False","True","3","Almost was a 2, but got a 3 because I was hungry and it did satisfy. ","2022-10-09 20:30:18.103780+00:00"
"Giano Restaurant","False","True","4","Recommended by Varun, service was slow but they were really friendly. Standout dish for me was tiramisu. Pesto pasta was good. I wished the fried ravioli was better because I had high expectations for it.","2022-04-25 22:30:38.265102+00:00"
"Spice 6 Modern Indian","False","True","4","@parth and I made the right choice by ordering the naan pizzas. This only made a 4 because of the paneer pizza. I’ve had better but it did the job. The chaats (mixed and samosa) and lassi were alright, I prob wouldn’t order again. @srikanth and @priyanka didn’t like the naan wraps so I prob wouldn’t recommend.","2022-06-04 15:50:07.196426+00:00"
"Daily Provisions","False","True","4","Cinnamon sugar cruller is good but 5 star still goes to maple glaze which ran out towards the evening.","2022-09-12 23:14:00.764594+00:00"
"The Cheese Board Collective","False","True","5","I went to Sliver more because it was closer to campus. Taste compared to Sliver was the same - excellent . I don’t understand when people have strong opinions between the two. Cheeseboard vibes maybe are better. Green sauce is spicier but there’s a place in the world for both cheeseboard green sauce and sliver green sauce. ","2022-05-08 23:27:31.866714+00:00"
"Bodega Taqueria y Tequila","False","True","5","Amazing experience!! This is a taqueria with a speakeasy with an entrance through the bathroom 😂 We ordered lit drinks and a literal pyramid of amazing food including elote, nachos, and quesadillas. If photos were launched I’d show you how beautiful it was. All in all come here if you wanna have a great time!","2022-05-20 23:49:38.242280+00:00"
"Sliver Pizzeria - Shattuck","False","True","5","Already wrote my love letter to this place once on Taste. Posting for the classic sliver on memorial glade 😍","2022-07-11 18:00:54.191159+00:00"
"Mokyo","False","True","4","Good to go once. You won’t get full off of the food unless you eat like 4 tapas which are priced as expensive entrees. Capri sun alcoholic drink and cauliflower appetizer were standouts. Hazelnut mousse was good. Went with @gita and @andrea ","2022-06-18 23:24:52.910608+00:00"
"Pura Vida - West Ave","False","True","4","This was a strong 4. Great start to the Miami trip. The breakfast bagel felt sooo clean but it was also extremely tasty and chewy. Even though we we ordered takeout, the vibes inside were very cute. Def recommend this place for a quick breakfast/lunch spot. Shoutout to @simran for the find.","2022-05-20 16:29:47.109189+00:00"
"Beard Papa's","False","True","3","This cream puff was good but I probably wouldn’t order from here again.","2022-06-01 16:53:45.182518+00:00"
"Takumi Taco","False","True","4","Veg nachos were good and clean, but prob wouldn’t venture out to come again. Had this at smorgasbord but looks like there’s several locations in nyc. ","2022-08-08 19:35:07.244055+00:00"
"Papito Hayes","False","True","4","Veg burrito is good, but sometimes it’s missed for me. Drinks are great and it’s in a prime location in the city so the vibes if you sit outdoors are good","2022-05-29 15:50:21.975812+00:00"
"The Delancey","False","True","4","Fun bar we went to for @umang birthday. Great vibes and we did open bar so definitely got pretty litty. ","2022-09-19 16:21:26.384461+00:00"
"Celebration by Rupa Vira","False","True","5","I’m pretty sure I’ve had every veg dish here. Great upscale place in NoVA. I come here for occasions with family and in terms of flavor for the price it honestly stacks up to fine dining Indian places I’ve had in SF (I.e. rooh).","2022-02-24 06:14:37.429520+00:00"
"Tacorea","False","True","5","Packed with flavor and a very unique burrito given the Korean Mexican fusion. ","2022-02-04 23:12:05.767880+00:00"
"Dominique Ansel Workshop","False","True","5","Came again with muthu to intro him to le breakfast sandwich and yet again it doesn’t fail to impress","2022-05-09 18:54:59.459259+00:00"
"Golda","False","True","4","Sandwich was bomb but farro sucked. Good for a meal after a night out. But pricy for what it was though","2022-03-29 18:29:29.356470+00:00"
"Deli Man","False","True","5","Business was owned by an awesome guy who became our friend, Charlie. Amazing service and he makes amazing sandwiches. Was right next to our apt in balboa park so it was great for a quick meal.","2022-03-24 19:13:04.961267+00:00"
"Viks Chaat","False","True","4","This used to be my go to spot in Berkeley but the last time we went I was disappointed with the quality. I have fond memories of the Chole bhatura","2022-04-11 19:59:51.079522+00:00"
"Keys & Heels","False","True","4","Ambiance is nice but not a lot of seating space. Cocktails were good though","2022-04-03 16:34:04.314157+00:00"
"Pongal","False","True","5","Papri chaat out of this world (I crave this). Rava dosa is bomb. Service is meh but great place for South Indian.","2022-11-15 16:47:02.034679+00:00"
"Manhattan Pizza","False","True","4","Childhood favorite meal growing up to eat with fam. Probably better pizza/pastas in the area, but have a lot of great mems here :)","2022-03-14 02:13:10.584124+00:00"
"Double Chicken Please","False","True","5","Didn’t have the food here but ambiance and cocktails were great. The cocktails are food inspired. I had the mango sticky rice and soba noodle cocktails. Both were great but if I went again soba would be my go to. We made a rez in advance for the back room, so def recommend doing that!","2022-04-23 15:36:55.178773+00:00"
"The Bean","False","True","4","Good spacious place to work. Nice mocha. ","2022-04-02 20:04:09.158643+00:00"
"Fan-Fan","False","True","4","Donuts were good but not great. Hot chocolate was too thick, maybe it’s cause we got the bottom of the barrel before they ran out. ","2022-11-15 17:26:57.544919+00:00"
"Dominique Ansel Bakery","False","True","5","This place is hyped so I had high expectations coming in especially after I had the shitty cold choc croissant at the Dom Ansel workshop. 

Standout dish by far was the Cronut, exquisitely packaged, presented, and guava flavored. I was worried when they said it wouldn’t be served warm, but it was amazing and I would come back just for this. 

Choc chip shot was soo good. Milk was sweet because of the cookie and the cookie shot glass itself was warm, chewy, and flavorful. 

Grilled cheese was good but too cheesy. I wish it came with tomato soup. 

Overall I’ve heard some people have bad experiences here, but if you go off peak (late morning/early afternoon weekday), and order the right things you should have a good experience.  ","2022-04-28 16:51:08.539271+00:00"
"RAW Sugar Factory","False","True","4","I remember the drinks being really good here, specifically a sugary drink which is surprising cause I don’t normally like sugary drinks. I don’t remember food being too note worthy though. ","2022-03-31 02:08:25.865579+00:00"
