"Place","Want to taste","Tasted","Rating","Review","Timestamp"
"Tacoria","False","True","3","Mediocre burrito. SF is way better. Pineapple was interesting though! Decent serving size ","2022-03-14 22:47:15.977319+00:00"
"Troya","False","True","5","Came with so many things and was super reasonably priced. Had cauliflower pita many dips the massoukeh! All super flavorful. the cheese borek was also AMAZING! ","2022-03-16 05:13:09.011785+00:00"
"Bar Bocce","False","True","4","good vibes and really fun with view of the water!! crumble was also pretty good. pizza was good but not as good as the family owned pizza shop near by! ","2022-03-16 05:10:15.236177+00:00"
"Au Za’atar","False","True","3","Hot take didn’t think it was that good. Got the eggplant, pita, halloumi, and cheese and falafel pizza. Falafel pizza was okay - cheese pizza was good, but nothing special. They didn’t give us pita or the dips everyone else was talking about. Halloumi was good but could’ve made the same from halloumi from Safeway. Overall underwhelmed based on all the 5s. Maybe would’ve been a 4 if I didn’t see the rest of the reviews hahaha ","2022-10-01 03:34:08.503577+00:00"
"Bill's Cafe","False","True","5","the food was really good here and was really large. Super filling and a great place for brunch in the area ","2022-03-18 04:14:28.679337+00:00"
"Wildseed","False","True","3","didn’t really enjoy the appetizer or the pizza. the only good thing was the burger! but not worth the price premium. Good ambiance though ","2022-03-16 05:29:35.589057+00:00"
"Velvet Taco","False","True","5","fried paneer taco!! it was really yummy and flavorful. had it as a drunchies and sober and both times were amazing ","2022-08-14 14:24:06.413861+00:00"
"The Gingered Peach","False","True","5","Spinach bialy and almond croissant!! Both were amazing!! LOVE THUS PLACE! ","2022-05-21 17:01:06.952463+00:00"
"Tompkins Square Bagels","False","True","5","Long line, but moved quickly. Very filling and yummy! ","2022-02-24 21:58:19.979311+00:00"
"Ocho Cafe Tacos & Tequila","False","True","4","the guac was so good! They make it tableside. The fajita burrito showed promise but I told them not to add random veggies but they added carrots and squash (blah) but the salsa was so good! May also be biased because Mexican food sucks in NJ ","2022-04-02 20:17:19.836552+00:00"
"Home Plate - San Francisco","False","True","3","the bottomless was great with so many different flavors and they were super attentive. The food was just fine nothing special… ","2022-03-16 05:15:29.804187+00:00"
"Almare Gelato","False","True","5","Kruthi took me here and forced me to try the rose ice cream, which I did, and it’s now my favorite ice cream of all times (maybe only second to cold stone cake batter) ","2022-05-08 18:12:40.235416+00:00"
"Veggie Grill","False","True","3","A vegan healthy place! Nothing that was super great about it though…. Would only go back if friends wanted it or it was the only healthy option ","2022-03-18 04:18:20.265804+00:00"
"Tilak Indian Cuisine","False","True","5","@anika and @nikhil warned us that the one in sf had regressed in quality and that it potentially gave them food poisoning. Anoop found one in Menlo Park and it was amazing! Parents also loved it ","2022-12-26 04:18:49.371283+00:00"
"Che Fico","False","True","4","came with kru kru @kruthi  

Fried risotto was so good (definitely on the smaller size though). Could’ve had three orders of this for dinner and been content.

Pineapple pizza was definitely good, but not the best best pizza ever. Crust was nice because it had parm cheese on top. Also got the blossom squash pasta, which was interesting and worked , but I like flour and water pasta more.

Not sure if I would crave the pizza like I do village square or Tony’s, but definitely a solid spot, but on the pricier end.

Long review because I felt like I have to justify the 4 after @ani glowing 5 star rec.

Also thank god we got the chili sauce on the side or I would’ve died. ","2022-08-15 04:38:05.437873+00:00"
"Ocho Cafe Tacos & Tequila","False","True","4","fajitas burrito, guac, chips ","2022-04-02 20:15:57.788992+00:00"
"Souvla","False","True","5","SOOOO GOOD! Always a favorite!! They also have a cute outdoor seating area now, where we are. Split the baklava yogurt and it was great! ","2022-03-14 22:35:19.132319+00:00"
"Vidalia Restaurant","False","True","3","AWESOME GARLIC BREAD (and they give it to you for free). Everything else is mediocre at best ","2022-03-14 22:47:57.307488+00:00"
"Milan Sweet Center","False","True","4","did takeout with kru and got dahi chaat, kachori chaat, kofta sizzler, paneer sizzler, and Manchurian sizzler. Wouldn’t get the Manchurian again. Paneer sizzler and kofta sizzler were good!! It traveled decently - when I microwaved for two minutes it was wayyyy better. I know the kachori chaat had promise but delivered terribly. Dahi chaat was whatever lol. Likely would be a 5 in person for the true sizzler experience ","2022-07-16 07:41:16.028830+00:00"
"Fedora Bistro Café","False","True","4","Good portion size… best pizza around Lawrence township but just decent in comparison to NYC. Their eggplant parm sandwich is fine. The bread is sort of stale and the parm is mostly just cheese. Best option around the boarding school though! ","2022-03-14 22:44:15.702115+00:00"
"Mama’s Cupboard","False","True","2","TERRIBLE BANH MI! NO COMPARISON TO MENDOS. Tofu was not flavorful. Bread wasn’t warm and there was no flavor to anything?? Literally ate the carrots and that’s it 

Also this was at smorgasburg so maybe it’s different in person! Also can’t find toastieland anywhere but anoop became a 5-year old and decided he wanted the rainbow grilled cheese. It was good, but nothing special. ","2022-08-29 02:35:09.480170+00:00"
"Fedora Cafe","False","True","2","Takeout was terrible wouldn’t go again tbh. Only
Go in person because I remember it being much better ","2022-09-18 15:44:52.149319+00:00"
"Little Napoli","False","True","3","Cool vibe but the food was just okay. I got the baked ziti veggie style and it was fine! Wouldn’t be mad if we had to go back because it was a cute place, but nothing to look forward to ","2022-07-10 22:56:30.077998+00:00"
"Matching Half","False","True","3","Pretty dry croissant and didn’t really have any almond filling ","2022-03-14 22:42:48.533781+00:00"
"Al Dente","False","True","5","Garlic bread was definitely very good! I got the pumpkin ravioli which was very good! But it was definitely really sweet…. The sauce was amazing and I soaked up every bit of it with my bread, but the ravioli got a little too sweet towards the end. Looking around the portion sizes were really big for all the other dishes!! I wish I would have gotten to split half and half with someone so then it would have been the perfect amount of ravioli. The lasagna looked AMAZING when it came out for another table! ","2022-03-06 04:44:00.374541+00:00"
"Souvla","False","True","5","Super healthy, filling, accessible, good before going out or for a chill meal. ","2022-02-17 20:07:30.068458+00:00"
"SLIVER Pizzeria","False","True","5","best pizza is by far their potato or corn ","2022-03-16 05:09:27.638060+00:00"
"Voodoo Doughnut","False","True","3","Buttermilk bar and old fashioned. Honestly just fine lol. I don’t think I like donuts anymore 😀","2022-08-14 19:21:01.436084+00:00"
"Zohara","False","True","5","Spinach salad, whipped feta, pita, falafel, and hummus! EVERYTHING WAS SO FLAVORFUL AND SO GOOD! Would definitely come back if in the area ","2022-04-02 20:18:13.291729+00:00"
"Gelso & Grand","False","True","5","Amazing goat cheese appetizer (and I don’t even like goat cheese). Fig pizza was the perfect crossover of village and lindustrie. Lovedddd the vodka pasta ","2023-05-20 02:39:43.724468+00:00"
"Vive Sol","False","True","5","Okay so I gave la fiesta a 5 but I think this is the real 5! I got a veggie guaggilo burrito and my dad got a veggie enchilada with mole and guagillo. I tried his mole and actually liked it - not sure if this one just didn’t have chocolate (??). The sauce was so unique and creamy and great! Didn’t love the chips that much probably bc I like flour tortilla chips more. Guac is made by me! We had to do order in Bc mom was struck by COVID. ","2022-08-20 04:22:48.111273+00:00"
"ROOH","False","True","4","paneer pinwheel is decent but nothing special. The appetizers are WAY better! I would go back and just do appetizers next time
","2022-03-16 05:50:44.544388+00:00"
"1428 Haight Patio Cafe and Crepery","False","True","4","The crepes were really really good! Nothing special about the mac and cheese! 2/3 blueberry pancakes were good but one was super burnt 😭","2022-03-16 05:30:57.025324+00:00"
"Mozart's Coffee Roasters","False","True","5","I swear I’m not inflating any of these. One of the best empanadas I’ve ever had. So flakey and perfect and the salsa was super flavorful ","2022-08-14 17:36:03.846436+00:00"
"Curry Up Now","False","True","5","All were good items that were flavorful for fast food indian!! love the fusion concept. have also tried the pav bhaji which was good! would not get the bhel
puri again though — not super flavorful! ","2022-03-16 04:56:58.720103+00:00"
"Hope & Olive","False","True","5","pumpkin eggplant enchilada… honestly one of the best enchiladas I’ve ever had.. also their wine was so good. Brussels sprouts were amazing ","2022-10-09 02:51:25.747074+00:00"
"Swagat Indian Cuisine","False","True","5","Their malai kofta is hands down the best (or second best) I’ve ever had!! Everything else is fine / typical Indian food. ","2022-03-14 22:40:40.782495+00:00"
"Slurping Turtle","False","True","3","2.5 nothing special for vegetarians. Not bad but would never willingly go ","2022-11-25 03:51:57.315140+00:00"
"DeLorenzo's Pizza","False","True","4","eggplant basil pie! i thought it was good and when air fried was much better. The pizza is definitely lighter on cheese, so may try the whit pizza next time. The crust was great! ","2022-04-02 20:19:09.711312+00:00"
"Amici's East Coast Pizzeria","False","True","5","Pasta comes with fried eggplant which was great and very flavorful. I got the personal size pizza and it was perfect to have with some pasta on the side. Thin crust and amazing! ","2022-03-14 22:51:42.038465+00:00"
"The Bagel Nook","False","True","5","Really good bagel place in NJ that may be better than Tompkins or really darn close! We had the avocado blast on an egg everything toast which was so big and awesome. Also tried the French toast bagel with crumb cake cream cheese. I loved the French toast bagel but wasn’t as excited about the cream cheese. It was good but nothing that was super amazing. Would 100% go back. Bagels were perfectly soft and chewy too. ","2022-05-08 18:14:23.329489+00:00"
"Rubirosa Ristorante","False","True","5","THE EGGPLANT WAS SO GOOD!! The best eggplant I’ve ever had. The tie dye was so yummy too! The pizza is thin crust so did not feel gross after. The crust was burned but rest was great. I would skip on the white pizza next time but the 1/2 and 1/2 is a great way to try! ","2022-03-07 03:41:31.117885+00:00"
"Atithi","False","True","3","what a saga. We finally went and when I told my dad he said anoop and I may think it’s too spicy. We Called ahead and asked if they can make their stuff mild and they said yes but when we got there they said mostly everything was spicy. We ordered the pakora and we could barely eat it so we decided to leave. They were really nice about it and didn’t charge us but anoop left a nice tip! Really kind wait staff just wasn’t food we could’ve eaten 😢","2022-10-23 13:04:28.703897+00:00"
