"Place","Want to taste","Tasted","Rating","Review","Timestamp"
"VeganBurg","False","True","4","The burgers here are really good! I’ve gotten the Avocado Beetroot Burger and Creamy Shrooms Burger before and enjoyed both. The creamy vegan aioli they give with some burgers is great too. Only ever done takeout so don’t know about the ambience but looks cute from pictures.","2022-05-24 23:47:31.963188+00:00"
"54 Mint","False","True","3","I got the cacio e pepe as takeout. It was good but nothing extraordinary. I went after a few friend recs and Google reviews seemed great but not a lot of vegetarian options sadly. Might be better for non vegetarians? Idk 🤷🏽‍♀️ ","2022-05-27 20:17:44.845464+00:00"
"Harp & Crown","False","True","4","The main level looks nice on entry but the rest of the level is kinda okay. Also there was this weird paint smell the first time I went which was off putting. Food and drinks were pretty good but nothing that special. I think the main thing that tips this place to a 4 is the hidden underground bowling alley and bar space. Would be great for a private party. Hope we’ll actually be able to reserve the bowling alley someday!","2022-09-14 15:29:29.176486+00:00"
"Pietro's Pizzeria Birerria - Radnor","False","True","4","Solid Italian food. Came here for dinner and definitely felt like comfort food. Their Valentina artisanal pizza was nice, but really enjoyed the rigatoni alla vodka (made vegetarian) and the cheese ravioli cause just general more of a pasta person and they really listened when we said we like pasta with sauce on the heavier side. Ambience is also really cute with wine bottles on the shelf walls. There is not too much more to try in terms of vegetarian dishes so not sure if I would repeat, but a good one time try!","2022-07-26 21:16:07.865415+00:00"
"Hinodeya Ramen Bar","False","True","4","I got very mixed reviews about this place from other people but when I tried it thought the Creamy Veggie Ramen was pretty good! The broth was really flavorful and they did a good job with keeping all the elements fresh and separate since it was takeout. Happy I tried it 😊","2022-06-01 21:47:12.849379+00:00"
"Base Crave","False","True","3","We got takeout from here twice because our l friends love this place. Sohil also liked it, but I’m not a fan of paneer gravy that has hints of sweetness meh. Apparently that’s “authentic” but I’m against it. The Ginger Tamarind Soda was great though so would recommend that!!","2023-02-12 15:47:33.260479+00:00"
"Suraya","False","True","3","The food was all fairly good, and the cocktails were sublime. But I knocked this place down a star because there was only one vegetarian main dish, and no falafel on the menu either which is very interesting for a Mediterranean/Israeli restaurant. We had to spend quite a bit here as well. The ambience is really nice though. I could easily see this place being a 4/5 for non-vegetarians.","2022-07-14 13:17:17.539901+00:00"
"The Italian Homemade Company","False","True","2","Sooo disappointing. I was so excited to try this because my biggest pasta nerd of a friend recommended it but I got pasta with pesto sauce and it was insanely oily. Haven’t been able to bring myself to go back since. I think I might have just gotten the wrong dish because a lot of people have told me it’s great, especially for dessert. Maybe one day, but I am very hesitant about the pasta now 😓","2022-05-27 20:23:51.036293+00:00"
"R & D","False","True","4","This is a 4 for the cocktails, and because it’s one of Sohil’s favorite cocktail bars in Philly hahah. I personally feel like he overhyped the experience a bit but he said it was very different pre-Covid. The service is good though and it is always packed. I just don’t love the whole package enough to give it a 5 like I know he probably would.","2022-09-16 13:13:30.169139+00:00"
"Loco Pez","False","True","3","Good number of vegetarian options but food was okay overall, nothing that special. We did really enjoy the queso because it was like nacho cheese in India. Also liked that they had karaoke night going on when we went which made for a nice atmosphere 🎉","2023-05-10 17:42:30.908969+00:00"
"Jonquils Cafe & Bakery","False","True","5","Umm, just divine. Extraordinary looking and tasting desserts over here. Just had to be a bit ignorant that technically most of them have gelatin unfortunately 🙈 But otherwise very solid 💯","2023-04-04 03:19:52.765852+00:00"
"Charlie Was a Sinner","False","True","4","Solid 4. The first time I went I put it at a 3.5 but the menu keeps changing and dinner last night was great! Plus we sat inside this time and the vibe was really nice compared to the first time when we sat outside because we are still amidst the first Covid wave in 2020. This place is 100% vegan which I love! Everything we got was pretty good - the potato croquettes, tamal, korean spiced crispy tofu, potato gnocchi, Charlie sliders. I think the Tamal was the best thing we got 🙌🏽 Also drinks here are very solid and actually what the place is known most for! This place also has a very interesting backstory behind the name which I recommend asking one of the waiters. A must try at least once! ","2022-07-24 14:17:25.573845+00:00"
"Spiceklub","False","True","4","Came for dinner and we really enjoyed it! Ordered wayy too much, but almost everything was good as a one time try and was worthy of being called molecular gastronomy. We mostly got starters because that’s what we were told were the best items on the menu. The Mushroom and Spinach Shashlik was the highlight in terms of starters. We also took a risk and got an entree but we’re so glad we did because the mushroom truffle biryani was amazing!! Also got dessert which was pretty fun to play with, but not sure I would get them again cause the taste itself was okay. ","2022-06-07 15:53:42.985046+00:00"
"Las Bugambilias","False","True","5","Came here for Sohil’s birthday and we honestly loved it! A lot of unique vegetarian options and pretty much everything we got tasted great, including the margarita pitcher! The ambience is also very nice. Highly recommend 😊","2023-05-10 17:39:56.003481+00:00"
"Tai Me Up","False","True","3","Food was decent, but pretty far from authentic Thai food. Needed some extra seasoning for sure. There were a good number of options for vegetarians and the ambience is really nice though. Could maybe be down to try again in case we just got the wrong items which unfortunately just did not hit the spot.","2022-07-20 02:43:55.351107+00:00"
"Renata's Kitchen","False","True","3","Overall, the food was very average for the most part and nothing was great about the service. Have definitely been to better Mediterranean in the Philly but it was fine as a one time go. I mainly wanted to go for the board/card games which were actually pretty fun. Only thing was the ambience was pretty dead inside so would have been nice if it was a bit livelier. ","2023-04-18 13:25:29.657402+00:00"
