"Place","Want to taste","Tasted","Rating","Review","Timestamp"
"Van Leeuwen Ice Cream","False","True","4","Had three different flavors, all vegan. The taste of all three was good, but the texture made it obvious it wasn’t real ice cream. Would still recommend as the vegan ice cream was way better than I expected and they offer normal ice cream as well.","2022-07-14 16:12:38.360669+00:00"
"Cafesano","False","True","4","Great ambiance, decent food and price. The grilled chicken parm panini was good, but the chicken shawarma wrap and the fries weren’t that great. I recommend getting the chicken parm panini and the vegetable chips.","2022-05-02 23:22:24.746968+00:00"
"Egg Holic","False","True","5","The place is an Indian street food joint, and I was pleasantly surprised with the food I got. The sandwhich and the pani puri both had great taste, and I loved the crunchy bread of the sandwhich. The mango lassi was a bit over priced but it was solid. 

I debated between a 4 or 5, but I felt that a 4 didn’t do it justice. Will definitely come back to try other items that looked good on their menu.","2022-09-06 04:38:39.324892+00:00"
"Blue Ridge Grill","False","True","3","Food isn’t bad, but definitely not worth the price.","2022-04-05 15:29:41.591310+00:00"
"El Fresco Mexican Grill","False","True","4","Jalapeño poppers were 10/10, the burrito was massive and was easily a solid 4/5. Menu looks promising, will definitely be back again. Good service too.","2022-07-28 02:20:39.077947+00:00"
"Adel's Famous Halal Food","False","True","5","Looked up “Best Halal carts in NYC” and this was the first one to come up - also my first time seeing a cart with a size-able line. Fortunately the line moves quick, and the man taking your order wastes zero time so you’re in and out in a flash once it’s your turn to order.

The food was great, especially for the price. While it’s my first NYC Halal cart experience, I can say I wouldn’t be surprised if it was in fact the best cart of it’s kind in NYC.","2022-05-06 12:06:10.139256+00:00"
"Egg Holic","False","True","5","Came back a second time, to try some new things but couldn’t resist getting the pani puri again - it still slapped.

Their spicy chicken kabob was UNREAL, very tender, juicy, and flavorful. The smothered omelette had way too much gravy and was like a 3/5, but everything else was a 5/5 for sure.","2022-09-11 10:36:54.199360+00:00"
"Sakura Grill Ashburn","False","True","4","Food was solid, the vegetarian miso soup was a pleasant surprise. The hibachi chef cooked the chicken first before the seafood or red meat, so people who don’t eat seafood or red meat would probably like that.

Only complaint (and reason it’s not 5 stars) is that I felt the food could’ve used more spice - I probably should’ve asked for spicier condiments. An all around good experience.","2022-05-18 00:15:31.477568+00:00"
"Totto Ramen","False","True","3","Super disappointed with the ramen I got. Food was a 2/5 but the service was good so I reluctantly gave a 3. The taste itself wasn’t great and the aftertaste was even worse. I saw it listed as the “Best Ramen in Hell’s Kitchen” so either Hell’s Kitchen has a dire need for decent ramen or I was lied to.","2022-05-05 18:59:38.264524+00:00"
"Grazie Grazie","False","True","4","Maybe it’s just because I didn’t eat at all that day until dinner, but I thought the place was decent. The fries and their sauce was fresh. 

The risotto balls were a 2-3/5 though, def don’t get those. The two different sandwiches I tried were a 4/5 - definitely could’ve been a lot better if they weren’t so dry and had more sauce, but the taste was there IMO. ","2022-08-14 06:03:22.689072+00:00"
