"Place","Want to taste","Tasted","Rating","Review","Timestamp"
"KazuNori","False","True","4","Went here with @anoop and it was a great time! Very fish forward so don’t go if you don’t like/eat seafood LOL. I’d say it was pretty solid and a cool experience but I lean towards Nami Nori. There’s no reservations, and there’s a line, but wait was prob like 20 mins on a Saturday evening so not bad ","2022-07-31 20:42:04.432142+00:00"
"Nikki Beach","False","True","4","Brunch buffet was really good! Although I’m not sure if it’s great for vegetarians because my favorite was the sushi and poke. Super fun ambience and right near the beach ","2022-05-26 15:49:40.466981+00:00"
"Isola Pizza Bar","False","True","3","Honestly it was aiite ","2022-06-07 01:42:21.810535+00:00"
"Jane","False","True","5","Really fresh pastries and baked bread. Very high quality. Great for brunch. ","2022-02-21 00:54:22.972597+00:00"
"Aroi Thai","False","True","5","If I lived here, would prob order from here all the time. Loved the Tom yum soup, pad see ew, and mango sticky rice","2022-06-07 01:29:31.852095+00:00"
"Spice & Grill","False","True","1","All dishes sucked, Ani almost cried ","2022-04-26 18:01:41.572311+00:00"
"Otra","False","True","5","Went here once and was blown away. Really flavorful food. Cute small spot. Favorite upscale Mexican place in SF. ","2022-02-21 00:59:17.011879+00:00"
"Miti Miti Modern Mexican","False","True","2","Tacos were okay and it was so loud inside, staff were nice though","2022-03-18 02:14:23.037343+00:00"
"Spaghetti Incident","False","True","2","So bad that @ani and I got into a fight ","2022-09-01 15:10:22.523519+00:00"
"Paper Planes","False","True","4","Cute small bar in LES","2022-11-04 03:17:43.606801+00:00"
"AYZA Wine & Chocolate Bar","False","True","3","Lalli was not a fan, I was hungry","2022-04-27 02:58:20.670957+00:00"
"Raíz NYC","False","True","5","I’m always blown away when vegan food tastes better than non vegan. We got the Baja tacos and nachos which were incredible. We also ordered a taco (hale something) that wasn’t good. Nice casual vibes inside, the staff was super nice, and overall 10/10 experience. Def my go-to spot in East Village now. ","2022-08-13 20:36:59.206334+00:00"
"Dancing Yak Nepali Cuisine & Bar","False","True","4","I don’t remember it being bad, momos were decent. food took forever. I should go again ","2022-05-06 02:01:43.116029+00:00"
"Nob Hill Cafe","False","True","4","It used to be really good but during COVID quality went down. Hopefully they’re back up now. I love their eggplant Parmesan and bread ","2022-04-14 18:59:23.923953+00:00"
"Flour + Water","False","True","5","The original pizza is amazing with the chili sauce and great Brussels sprouts app. Favorite pizza in sf now","2022-04-14 18:53:13.972599+00:00"
"Papalote","False","True","5","Best burritos in sf, must get sauce ","2022-04-27 02:51:36.319829+00:00"
"Double Chicken Please","False","True","4","Soba noodle cocktail and fried chicken sandwich were both super fire 🔥. Would’ve given it a 5 but I got a tummy ache (but might be on me tbh)","2022-05-19 23:51:20.286308+00:00"
"Kono's Cafe","False","True","2","Really bad so bland","2022-06-07 01:47:57.811522+00:00"
"La Marcha Tapas Bar - Berkeley","False","True","5","Reminded me of the tapas I had in Spain, so so good","2022-05-03 16:38:21.161010+00:00"
"uluh","False","True","5","This place was fire 🔥 s/o to @leon for posting hella ig stories of this place and helping me remember I want to go. Went with @pratik and we got an assortment of the dim sum, tea, and lava cake. Each dish was amazing and I’d totally go back. ","2022-10-02 02:31:48.669335+00:00"
"Besharam","False","True","4","I like the ambiance of this place because they got a local artist to paint the interior. The food was fine, but nothing spectacular. Game changer is the parle g cheese cake though. Pani puri shots in theory are fun, but in reality they weren’t that great. ","2022-02-21 01:00:57.450615+00:00"
"Dhamaka","False","True","3","I wanted to like it. Maybe it’s just not good for vegetarians 🤷🏽‍♀️. No flavor, paneer and dhaal were oily. Also I couldn’t help but think about all the dead rabbits in the kitchen 🫥","2022-05-11 23:13:21.428843+00:00"
"Pineapple Club","False","True","4","Fun bar! Good for large groups ","2022-06-28 23:31:18.266906+00:00"
"The Copper Still","False","True","5","Nice vibes and solid frosè that honestly tasted like a smoothie. I want to go back and try their lemonade ","2022-08-06 04:23:54.579677+00:00"
"Banh Mi Zon","False","True","3","Veggie banh mi was aiite, I’ve had better","2022-04-16 01:47:12.590204+00:00"
"Curry Pizza House","False","True","5","First time I’ve enjoyed a curry pizza!! We got the chicken tikka pizza. Perfect size and didn’t make me feel bloated (shocker). Will def go back ","2022-07-16 04:39:21.760911+00:00"
