"Place","Want to taste","Tasted","Rating","Review","Timestamp"
"Besharam","False","True","3","The food is mediocre quality, nice ambiance","2022-02-28 23:30:18.181298+00:00"
"Papito Hayes","False","True","4","This upscale Mexican place is a great go-to spot in the heart of Hayes Valley. Perfect for outdoor or indoor seating. Best food is the guacamole and sangria pitchers. Great Sunday spot to chill with friends.","2022-04-19 04:43:54.266672+00:00"
"Dancing Yak Nepali Cuisine & Bar","False","True","3","The atmosphere is nice and food is decent but nothing to write home about.","2022-07-03 22:55:16.039651+00:00"
"Lucia's Berkeley","False","True","5","This place had amazing pizza and a cute little setup. Highly recommend. ","2022-05-23 02:27:18.800559+00:00"
"Jane","False","True","4","Really good, nice vibes","2022-02-25 00:24:37.985909+00:00"
"Tommy's Mexican Restaurant","False","True","3","Family owned spot with some great items if you stick with those, you’ll be happy","2022-03-17 04:41:00.103572+00:00"
"Mona Lisa","False","True","1","Horrible food and even worse service. I’m willing to bet they served us actual Campbell’s  minestrone soup. Would not recommend. ","2022-09-02 03:25:44.673492+00:00"
"Tilak","False","True","4","Can count on good food","2022-02-25 00:24:03.001325+00:00"
"Dumpling Time","False","True","3","Overall it’s a fine place, but the pork xlb is so good. Usually go with friends. Also good for vegetarians who want dumplings. ","2022-02-17 19:46:46.472392+00:00"
"a Mano","False","True","4","Great location, indoor seating is nice. Simple but well made Italian. ","2022-02-17 19:44:07.837366+00:00"
"Red Chilli","False","True","5","If you want authentic Nepali food that tastes really good, this place is the best. I normally get it delivered. ","2022-02-17 19:48:18.897102+00:00"
"Burma Love","False","True","4","This is a great spot for good Burmese food with great ambience. Pretty trendy and fun to eat at. Tea leaf salad, samosa soup, and cocktails are my go-to here.","2022-04-19 04:46:25.039959+00:00"
"Deli Board","False","True","5","Excellent sandwiches at a small neighborhood deli. ","2022-07-30 15:50:33.837277+00:00"
"Liholiho Yacht Club","False","True","5","Really great food, highly recommend. Fancy but worth it","2022-02-25 00:26:39.107203+00:00"
"Coco's Ramen","False","True","3","Good and creamy","2022-02-17 19:48:46.161623+00:00"
"Burma Love","False","True","4","Been loving this place since the beginning of when I lived I sf. Tea leaf salad and samosa soup are my go-to orders. The fiery tofu is a new favorite. ","2022-07-03 23:02:33.091472+00:00"
"Golden Boy Pizza","False","True","5","Favorite pizza place in the city! ","2022-02-28 23:31:02.601706+00:00"
"Iza Ramen","False","True","4","This place has great dipping sauce ramen, the veggie ramen is ok. ","2022-08-02 16:16:27.985852+00:00"
"RICH TABLE","False","True","2","I’ve been wanting to taste this place for a while. Disappointed by the dishes, not worth the money for sure. The veggie lasagna was bland af. Do yourself a favor and go to flour and water instead. The interior looks nice though. ","2022-08-05 02:51:55.583258+00:00"
"Blackwood","False","True","4","Nice sunny spot in the marina for Asian inspired brunch","2022-04-16 15:52:22.887713+00:00"
"Punjabi Grocery & Deli","False","True","4","An NYC icon: a hole-in-the-wall grocery store that used to be a popular spot for taxi drivers to pick up affordable food. Super friendly staff and the food is decent (plus very cheap). My only problem is them mixing the dishes into one box so maybe ask for it on a plate and not for take out. ","2022-07-03 23:00:46.710275+00:00"
"Beit Rima","False","True","4","Fresh and authentic","2022-02-17 19:50:28.836354+00:00"
"4505 Burgers & BBQ","False","True","4","Great outdoor spot for groups to sit and chill at. Good food, great fries and drinks.","2022-07-30 15:52:24.244464+00:00"
"Nute's","False","True","4","Cute little spot for ramen, the noodles are really good the broth could be better. Worth checking out ","2022-06-05 16:10:34.631880+00:00"
"KITCHEN ISTANBUL","False","True","5","Went to this place off a taste rec (hi Deena and Spriha) and I loved it! The dishes were delicious and light, and the ambiance was really warm and welcoming. Highly recommend this place to anyone.","2022-04-19 04:41:55.728345+00:00"
"MARUFUKU RAMEN","False","True","5","Hands down the best veggie ramen I have ever eaten. They nailed it, I’m sold, everyone go here.","2022-07-11 17:07:18.443001+00:00"
"Little Star Pizza","False","True","4","Really good deep dish pizza. Buttery and heavy, but delicious. ","2022-02-17 19:50:00.969686+00:00"
"Ippudo","False","True","5","My favorite ramen spot of all time","2022-08-02 16:12:13.521527+00:00"
"Bengal Tiger Indian Food","False","True","4","Really good food and cozy vibes. Would go back.","2022-07-03 22:54:03.744215+00:00"
"Otra","False","True","4","The bean dip was really great and the ambiance was perfect for a night out in sf. The other food isn’t that great but if you stick to the bean dip and drinks it’s a hit.","2022-05-23 02:25:14.211940+00:00"
"Empress by Boon","False","True","3","Looks and tastes like average Chinese food, way too expensive for what you get","2022-04-16 15:51:42.783802+00:00"
"AL's Place","False","True","5","Nice SF spin on a Michelin restaurant. ","2022-02-17 19:45:44.756333+00:00"
"Oscars Mexican Seafood","False","True","5","Really good fish tacos by the beach ","2022-06-07 21:27:55.342892+00:00"
"ROOH","False","True","3","","2022-02-25 00:22:34.781270+00:00"
"HORSEFEATHER","False","True","5","Super fun aesthetic bar and place to eat.","2022-02-17 19:49:22.938036+00:00"
"Wildseed","False","True","4","The risotto and pizza was really good, impressed with this all vegan place. The dessert was not that great though.","2022-07-03 16:18:38.717300+00:00"
"Spiceklub","False","True","4","Loved the food and execution (pani puri and fried paneer was excellent). A little pricey but worth it in my opinion.","2022-05-26 20:36:45.751801+00:00"
"Devil's Teeth Baking Company","False","True","5","Their egg sandwiches are amazing, a must-visit spot for breakfast. ","2022-08-02 16:14:47.836755+00:00"
"Saffron Indian Bistro","False","True","5","This place used to be called Rasa. They recently went through a rebrand and came back with a vengeance. Loved it! ","2022-07-11 17:17:26.032464+00:00"
"True Laurel","False","True","4","Good sf bar to go to with friends ","2022-02-28 23:29:27.844660+00:00"
"Amber India","False","True","4","The dhaal makhani is the only thing I order from here but I love it so much I’ll give this place 4 stars. ","2022-07-11 17:14:35.829882+00:00"
"Papalote","False","True","5","Best burrito in the city in my opinion, I get the veggie burrito with the grilled veggies. ","2022-04-20 19:39:58.090477+00:00"
"Flour + Water","False","True","5","Great ambiance. New Californian food meets Italian. Super filling and pairs well with their wines. ","2022-02-17 19:43:27.583596+00:00"
"The Taco Stand","False","True","5","Best tacos I’ve had in San Diego. Definitely worth waiting in the line for more than an hour ","2022-06-05 16:11:34.219755+00:00"
"Terrace Cafe","False","True","5","Surprisingly great quality food and views at the top of the moma. The cauliflower soup and the lemon tart were hits. Highly recommend stopping here. ","2022-06-20 19:53:47.389080+00:00"
"Souvla","False","True","4","Decent go-to spot for Mediterranean fast casual. It has great French fries and love the frozen yogurt with baklava crumbles","2022-07-05 19:55:15.933629+00:00"
"Baazi","False","True","4","One of the best Indian fusion places I’ve eaten at in NYC. Highly recommend.","2022-07-03 22:53:20.064138+00:00"
"Shizen","False","True","4","Doesn’t taste vegan!","2022-02-25 00:23:23.415904+00:00"
"Kono's Cafe","False","True","3","It was a really long line for this breakfast burrito. It was decent but nothing to write home about. Got the vegetarian burrito so it could be possible that everyone was there for the chorizo. ","2022-06-07 21:31:18.525394+00:00"
"BAIA","False","True","4","","2022-02-24 22:19:11.888728+00:00"
"Komala Vilas","False","True","5","If you want the real South Indian thali experience-this place is as good as it gets in the Bay. ","2022-05-23 02:28:22.572602+00:00"
"Fable","True","False","","",""
"Mourad","True","False","","",""
"Tortas Boos Voni","True","False","","",""
"Che Fico Alimentari","True","False","","",""
"RAW Sugar Factory","True","False","","",""
"Les Gourmands Bakery","True","False","","",""
"Barnzu","True","False","","",""
"Tavern on the Green","True","False","","",""
"Shlock’s","True","False","","",""
"Fournée Bakery","True","False","","",""
"La Ciccia","True","False","","",""
"Automat","True","False","","",""
"Palmetto Superfoods","True","False","","",""
"Supermoon Bakehouse","True","False","","",""
"Norcina","True","False","","",""
"Son & Garden","True","False","","",""
"San Francisco Athletic Club","True","False","","",""
"Last Rites","True","False","","",""
"UlavacharU Tiffins","True","False","","",""
"On The Bridge Restaurant","True","False","","",""
"Doughnut Vault","True","False","","",""
"Nonna Beppa","True","False","","",""
"Rowdy Rooster","True","False","","",""
"Kinara Fusion Kitchen","True","False","","",""
"Manousheh","True","False","","",""
"Plancha Tacos","True","False","","",""
"Palette Tea House","True","False","","",""
"Shabu Sen","True","False","","",""
"Nari","True","False","","",""
"Tropisueño SF","True","False","","",""
"Tartine Bakery","True","False","","",""
"The Little Chihuahua Mexican Restaurant","True","False","","",""
"Farmhouse Kitchen","True","False","","",""
"CHATPATTA CORNER","True","False","","",""
"Swensen's","True","False","","",""
"Liberty Bagels","True","False","","",""
"Bottega","True","False","","",""
"Sanraku","True","False","","",""
"John's of Bleecker Street","True","False","","",""
"Smith Street Bagels","True","False","","",""
"Ras Plant Based Ethiopian","True","False","","",""
