"Place","Want to taste","Tasted","Rating","Review","Timestamp"
"Seamore’s","False","True","5","Dank seafood and beer spot in Dumbo right on the water - firecracker cauliflower, shrimp tacos, lobster roll all excellent ","2022-08-22 20:13:25.282956+00:00"
"Wayan","False","True","4","Indo-French food which was good but didn’t wow us, portions were kinda small so order more. Favorites were the lobster noodles, nasi goreng (🤌🏽), corn fritters, escargot ","2022-08-22 20:28:40.218432+00:00"
"Sushi-San","False","True","5","Best Japanese I’ve had in a long time, everything we got was a knock-out - roasted sesame broccolini, Thai basil sizzling chicken rice, spicy salmon roll, bluefin tuna roll, hamachi roll, FLUFFY PANCAKES FOR DESSERT 😮‍💨😮‍💨","2022-05-31 22:13:25.846960+00:00"
"Dante","False","True","5","The espresso martini and the royal margarita 👑. Mic drop 🎤","2022-05-17 02:24:19.673375+00:00"
"The BoatYard Grill","False","True","5","Been my favorite spot in Ithaca since I was a kid. Good all-American food w/ some flair right on the lake. Love the lobster ceviche, Buffalo chicken egg rolls, mahi mahi fish tacos, and wood fired chicken pasta ","2022-06-26 03:19:33.378052+00:00"
"Bella Blu","False","True","5","The best pasta I’ve had in some time if you’re willing to trek to the UES 🙋🏽‍♀️ definitely a local favorite and not overhyped like the Italian spots down south below 60th street 
Our order - calamari, bucatini all’amatriciana (🤌🏽), papardelle con ragu, linguine alle vongole

🟢: some veg pastas on the menu! ","2022-05-12 14:39:43.419420+00:00"
"Randolph Beer","False","True","4","Dope brewery in Brooklyn with a fun indoor game annex, including feather bowling, pin ball, pool. Quick bites were dece like tots and nachos. Game annex for rainy days ☔️, rooftop for sunny days ☀️ ","2022-05-15 03:00:28.643308+00:00"
"Sushi on Jones","False","True","4","This place is good if you’re looking for dece omakase and you’re balling on a budget; $58 for 12 courses and $105 for 20. Salmon nagiri + A5 wagyu were faves. Loved the hot genmaimatcha (toasted brown rice/green tea). 🍵 
","2022-05-25 00:51:11.730454+00:00"
"Snooze, an A.M. Eatery","False","True","3","Maybe this is a hot take but I thought this place was super average, we got breakfast tacos and the crab cake. Also they have their dishwasher room right next to their outdoor seating and it smelled so bad 🤢 ","2022-08-28 16:52:58.034683+00:00"
"Adalina","False","True","5","This Italian spot is super nice so def dress accordingly - e.g. waiters are in suits. Amazing wine selection + pastas + lamb chops + tiramisu. Next time I’ll make sure not to show up in a flannel and leggings ","2022-06-01 03:51:47.155619+00:00"
