"Place","Want to taste","Tasted","Rating","Review","Timestamp"
"Spicy Moon Vegetarian Szechuan","False","True","4","Yum!!!! We had the mapo tofu, scallion pancakes, & shitake bun. More than enough for 2 people who are only a little hungry 🫡 ","2022-08-11 15:09:23.429172+00:00"
"Anything At All","False","True","2","Cornell paid for our dinner here but otherwise I would rather swim across the east river to leave roosevelt island than eat here again. The name is accurate bc they will truly give you Anything at All. Look at this mackerel. Absolutely 0 logic to these ingredients/sides/flavor profile. The other entrees were odd as well (“cornell chicken”) but i think were fine. We looked up the prices after and laughed!!! Anyway giving 2 stars bc the mocktails were good imo","2022-08-12 13:58:49.798243+00:00"
"Fancy Radish","False","True","4","more of a 4.5 :) entirely vegan restaurant on H st! nice ambience & most of the food was reaaaally good. we got 7 dishes + 2 desserts between 3 people lol but the highlights were potatoes & noodles. eggplant and truffle dishes werent worth it tbh, kind of boring/bland. mocktails also kind of mid. everything else was so yummy and im literally so stuffed rn. ","2022-10-28 03:02:41.003680+00:00"
"Each Peach Market","False","True","5","backfilling some tastes - got sandwiches at the deli in the back of this upscale grocery & they were so good, though maybe i was just hungry. got the “maude” which was a chicken sandwich. kind of small though","2022-10-16 20:11:47.849441+00:00"
"Tsunami Sushi","False","True","3","Maybe the one time i had really good sushi in denver spoiled me .. we got way too much sushi and the best roll was the shrimp tempura roll i fear. i dont even remember what else we got","2022-07-16 01:23:55.931597+00:00"
"Ocha Thai Kitchen & Cafe","False","True","3","had the pineapple curry, which was fine. curry to rice ratio was too high. pretty run of the mill imo but nice ambiance. No pic unfortunately #UNPLUGGED","2022-07-02 19:08:05.013098+00:00"
"Shamshiry","False","True","5","cute old iranian man complimented my hair. he didnt work there or anything i just loved it. i have come here since i was 8 years old and ive decided its better than alborz. Sorry","2023-01-08 01:02:19.790328+00:00"
"Mandu","False","True","3","sorry… for $40 i could get 2x this food at Taste of Korea in centreville and itd taste better :-/","2023-01-20 02:42:29.983768+00:00"
"Galaxy Hut","False","True","4","vegan burgz. good portions, good vibes, though it was extremely packed. probably nicer when the weather is good and they can use the outdoor space","2023-03-07 22:39:30.960575+00:00"
"Thai Select","False","True","3","servers slayed honestly but this place is ok at best for takeout and kinda overpriced for the quality. I ate both my dinner and half of arielle’s","2023-01-02 16:54:31.162760+00:00"
"McDonald's","False","True","3","It took so long to get this for my cousin…. FAST food my ass","2022-07-10 21:29:08.652518+00:00"
"Uncle Joe's Grill & Sports Bar","False","True","4","Weird as fuck vibes but the food was actually really good","2023-03-25 20:25:14.591482+00:00"
"Piggyback","False","True","5","we got the soba salad, wings, and s&p shrimp. as @leon would say, wings were dank. I wanted to lick the sauce off the plate. soba salad was fresh and a good balance for the richer dishes. wish there were more interesting flavors there but alas. Came out to like $35 a person with tip","2022-09-15 15:10:39.720499+00:00"
"Black Sheep Bagel Cafe - Cambridge","False","True","3","What kind of bagel place doesn’t have a simple egg and cheese bagel?? They were like we dont do an egg and cheese. But we can do a bacon, egg, and fig bagel. What the fuck?????? Just remove the bacon and fig and add cheese? What’s wrong with you?! I hate white people and Harvard University","2022-12-04 16:21:35.621103+00:00"
"Chill Zone","False","True","4","Come to this place for the name. stay for …. idk everything else ig. Quick service, I had a vietnamese iced coffee and a beef banh mi and the banh mi was legit $10 and delicious, dripping w oil and packed w meat like thats crazy……. Only downside is after like 3pm everyone in there is a teenager","2023-03-08 00:05:54.449599+00:00"
"Townhall","False","True","4","poke bowl was gas but the ginger tumeric lemonade was a little gross 😛","2022-06-23 21:20:41.537812+00:00"
"Ruthie's All-Day","False","True","4","forgot photos 😑","2023-01-02 16:53:12.410005+00:00"
"Zorba's Cafe","False","True","4","good but tbh too expensive for what u get. the issue w greek/mediterranean food imo is its so easy to make it and do it right (except maybe meat) that if i have to pay more than like $15 to me it’s not worth it, couldve just made it at home. but cute atmosphere and embarrassed myself taking this photo in front of my colleague","2023-01-08 01:00:12.537673+00:00"
"Sō Korean Barbeque","False","True","5","im so full","2022-12-24 05:33:27.767915+00:00"
"Sabai","False","True","5","ditto @muthu ","2023-03-31 13:24:53.206089+00:00"
"Family Ethiopian Restaurant","False","True","4","4 stars bc Hawi in Ithaca is still better (i think). we got the meat x veggie family platter (i think) and it was enough for the 3 of us (i think). Small space but wasnt busy for a Saturday around 6. Their teas and stuff looked sooooo good. lamb isnt halal which is kind of islamophobic (JOKING).

actually i think hawi’s injera is lowkey often dry so this place was better in that respect. great value too. ok thats all","2022-09-15 15:17:12.376888+00:00"
"Pho So 1","False","True","5","Pho 75 mark your days","2023-03-31 13:23:56.252228+00:00"
"Cafein","False","True","5","ALWAYS GOOD . butterscotch latte rocks big time","2022-06-30 14:24:47.355787+00:00"
"Brew Birds","False","True","5","love this place, @jayne and my second home ❤️ Food is great especially for a casual cafe. I will say the chicken sandwich I had today would’ve benefited from a mayonaisesque sauce, but alas. coffee and pastries are solid too, and they have a lot of #vegan options. Jayne and I bought matching mugs from them today 🤝","2022-08-14 18:20:17.193605+00:00"
"Blanchard’s Coffee","False","True","5","cute interior, good cofy","2023-03-31 13:25:28.436143+00:00"
"Heck's Cafe","False","True","3","food was ok i had the salmon burger :( ","2022-06-23 03:44:53.615582+00:00"
"Taste Of Korea","False","True","5","gas yet again","2023-01-02 16:55:37.504085+00:00"
"Townhall","False","True","4","adding photo -_-","2022-06-24 19:57:49.338265+00:00"
"Kura Revolving Sushi Bar","False","True","3","u dont come for the sushi u come for the revolving. also we waited outside for an hour despite getting on the waitlist 2 hrs before which was crazy. in TYSONS ?? Come on. But it was fun 😀","2022-10-16 20:18:57.519356+00:00"
"Moon Rabbit","False","True","5","restaurant week menu. would be delicious… if i was a freaking MILLIONAIRE!!!","2023-01-23 01:23:27.825359+00:00"
"Mama Ayesha's","False","True","4","yummy good atmosphere such nice service & a lot of dishes u dont get at most arab/mezze style places ❤️ recommend getting the big plates (we did 3 little plates & 2 biggies for 4 people which was fine). chicken was sooo tender :-) Only thing is idk if quality matched price but whatevaaaaa xoxo","2022-12-12 04:54:59.280657+00:00"
"Gordon Ramsay Fish & Chips","False","True","3","exactly what you would expect, also crazy expensive lol","2023-03-04 15:32:08.929478+00:00"
"Caffè Panna","False","True","5","Basil ice cream - slay. Cookies and cream?? Tasted like what u hope cookies and cream should taste like. Yum!!! ","2022-08-13 03:51:08.987264+00:00"
"Juice Vitality","False","True","5","acai bowl was gas ive never seen them put that many toppings on there. paula got a green juice i cant remember which but it was also tasty. one of the hottest people ive ever seen walked in after us, five stars","2022-08-12 13:54:45.247641+00:00"
"Otra","False","True","4","beef tacos are soooo good, chips yummy, everything else kinda ok","2023-01-13 19:22:02.905107+00:00"
